,step_history,queue_history
0,100,0
1,200,0
2,300,1
3,400,2
4,500,6
5,600,9
6,700,12
7,800,11
8,900,11
9,1000,9
10,1100,12
11,1200,15
12,1300,12
13,1400,11
14,1500,13
15,1600,17
16,1700,23
17,1800,16
18,1900,13
19,2000,18
20,2100,19
21,2200,24
22,2300,24
23,2400,25
24,2500,28
25,2600,19
26,2700,17
27,2800,22
28,2900,34
29,3000,37
30,3100,32
31,3200,27
32,3300,33
33,3400,29
34,3500,22
35,3600,34
36,3700,29
37,3800,35
38,3900,33
39,4000,30
40,4100,16
41,4200,19
42,4300,29
43,4400,38
44,4500,43
45,4600,39
46,4700,36
47,4800,26
48,4900,15
49,5000,21
50,5100,27
51,5200,36
52,5300,37
53,5400,28
54,5500,23
55,5600,13
56,5700,14
57,5800,24
58,5900,31
59,6000,32
60,6100,25
61,6200,14
62,6300,14
63,6400,21
64,6500,29
65,6600,25
66,6700,25
67,6800,27
68,6900,19
69,7000,17
70,7100,17
71,7200,21
72,7300,25
73,7400,24
74,7500,26
75,7600,23
76,7700,16
77,7800,14
78,7900,21
79,8000,21
80,8100,28
81,8200,31
82,8300,36
83,8400,36
84,8500,28
85,8600,23
86,8700,23
87,8800,26
88,8900,36
89,9000,37
90,9100,31
91,9200,25
92,9300,16
93,9400,21
94,9500,34
95,9600,40
96,9700,40
97,9800,35
98,9900,16
99,10000,8
100,10100,19
101,10200,29
102,10300,40
103,10400,40
104,10500,44
105,10600,31
106,10700,18
107,10800,24
108,10900,26
109,11000,35
110,11100,41
111,11200,42
112,11300,39
113,11400,26
114,11500,19
115,11600,23
116,11700,31
117,11800,36
118,11900,43
119,12000,40
120,12100,25
121,12200,26
122,12300,25
123,12400,30
124,12500,34
125,12600,36
126,12700,41
127,12800,32
128,12900,33
129,13000,34
130,13100,34
131,13200,32
132,13300,32
133,13400,23
134,13500,17
135,13600,24
136,13700,35
137,13800,41
138,13900,49
139,14000,38
140,14100,31
141,14200,28
142,14300,27
143,14400,34
144,14500,40
145,14600,36
146,14700,21
147,14800,20
148,14900,26
149,15000,28
150,15100,38
151,15200,40
152,15300,36
153,15400,34
154,15500,26
155,15600,21
156,15700,27
157,15800,34
158,15900,37
159,16000,34
160,16100,41
161,16200,39
162,16300,28
163,16400,25
164,16500,19
165,16600,20
166,16700,18
167,16800,27
168,16900,29
169,17000,31
170,17100,29
171,17200,25
172,17300,23
173,17400,25
174,17500,22
175,17600,26
176,17700,30
177,17800,23
178,17900,22
179,18000,26
180,18100,32
181,18200,29
182,18300,26
183,18400,24
184,18500,20
185,18600,20
186,18700,17
187,18800,17
188,18900,32
189,19000,31
190,19100,21
191,19200,14
192,19300,11
193,19400,18
194,19500,23
195,19600,27
196,19700,25
197,19800,22
198,19900,17
199,20000,16
200,20100,17
201,20200,20
202,20300,22
203,20400,16
204,20500,21
205,20600,30
206,20700,26
207,20800,27
208,20900,22
209,21000,22
210,21100,20
211,21200,29
212,21300,28
213,21400,37
214,21500,39
215,21600,33
216,21700,23
217,21800,15
218,21900,21
219,22000,28
220,22100,30
221,22200,33
222,22300,29
223,22400,26
224,22500,28
225,22600,29
226,22700,32
227,22800,34
228,22900,26
229,23000,30
230,23100,31
231,23200,37
232,23300,30
233,23400,23
234,23500,22
235,23600,24
236,23700,31
237,23800,33
238,23900,31
239,24000,30
240,24100,29
241,24200,26
242,24300,20
243,24400,29
244,24500,29
245,24600,25
246,24700,27
247,24800,18
248,24900,15
249,25000,19
250,25100,34
251,25200,32
252,25300,36
253,25400,36
254,25500,24
255,25600,17
256,25700,28
257,25800,31
258,25900,27
259,26000,30
260,26100,30
261,26200,22
262,26300,24
263,26400,18
264,26500,19
265,26600,33
266,26700,36
267,26800,35
268,26900,31
269,27000,28
270,27100,29
