,step_history,queue_history
0,100,0
1,200,0
2,300,1
3,400,3
4,500,4
5,600,8
6,700,10
7,800,9
8,900,12
9,1000,14
10,1100,11
11,1200,9
12,1300,16
13,1400,24
14,1500,28
15,1600,31
16,1700,28
17,1800,20
18,1900,24
19,2000,26
20,2100,37
21,2200,35
22,2300,32
23,2400,30
24,2500,24
25,2600,22
26,2700,22
27,2800,28
28,2900,35
29,3000,40
30,3100,35
31,3200,33
32,3300,30
33,3400,28
34,3500,34
35,3600,36
36,3700,35
37,3800,25
38,3900,27
39,4000,27
40,4100,29
41,4200,27
42,4300,17
43,4400,21
44,4500,29
45,4600,29
46,4700,23
47,4800,22
48,4900,24
49,5000,21
50,5100,28
51,5200,27
52,5300,27
53,5400,31
54,5500,33
55,5600,34
56,5700,24
57,5800,19
58,5900,19
59,6000,24
60,6100,30
61,6200,30
62,6300,29
63,6400,21
64,6500,23
65,6600,32
66,6700,36
67,6800,28
68,6900,23
69,7000,24
70,7100,26
71,7200,30
72,7300,42
73,7400,37
74,7500,37
75,7600,30
76,7700,25
77,7800,28
78,7900,30
79,8000,35
80,8100,33
81,8200,34
82,8300,31
83,8400,30
84,8500,30
85,8600,34
86,8700,37
87,8800,33
88,8900,36
89,9000,34
90,9100,29
91,9200,21
92,9300,15
93,9400,25
94,9500,21
95,9600,25
96,9700,34
97,9800,31
98,9900,29
99,10000,29
100,10100,37
101,10200,29
102,10300,22
103,10400,30
104,10500,31
105,10600,32
106,10700,35
107,10800,30
108,10900,33
109,11000,27
110,11100,19
111,11200,17
112,11300,25
113,11400,29
114,11500,27
115,11600,33
116,11700,34
117,11800,31
118,11900,26
119,12000,31
120,12100,31
121,12200,32
122,12300,37
123,12400,35
124,12500,32
125,12600,32
126,12700,36
127,12800,28
128,12900,27
129,13000,32
130,13100,39
131,13200,37
132,13300,27
133,13400,32
134,13500,38
135,13600,45
136,13700,40
137,13800,32
138,13900,27
139,14000,22
140,14100,29
141,14200,34
142,14300,31
143,14400,30
144,14500,33
145,14600,37
146,14700,43
147,14800,41
148,14900,40
149,15000,32
150,15100,34
151,15200,40
152,15300,41
153,15400,33
154,15500,30
155,15600,26
156,15700,26
157,15800,32
158,15900,33
159,16000,33
160,16100,29
161,16200,30
162,16300,31
163,16400,31
164,16500,31
165,16600,33
166,16700,26
167,16800,27
168,16900,28
169,17000,29
170,17100,35
171,17200,36
172,17300,42
173,17400,44
174,17500,43
175,17600,43
176,17700,40
177,17800,40
178,17900,39
179,18000,40
180,18100,45
181,18200,48
182,18300,52
183,18400,50
184,18500,44
185,18600,34
186,18700,30
187,18800,30
188,18900,34
189,19000,42
190,19100,36
191,19200,29
192,19300,32
193,19400,31
194,19500,27
195,19600,24
196,19700,32
197,19800,32
198,19900,35
199,20000,39
200,20100,35
201,20200,33
202,20300,25
203,20400,23
204,20500,25
205,20600,32
206,20700,32
207,20800,31
208,20900,27
209,21000,27
210,21100,31
211,21200,32
212,21300,26
213,21400,26
214,21500,25
215,21600,20
216,21700,25
217,21800,22
218,21900,24
219,22000,22
220,22100,23
221,22200,21
222,22300,21
223,22400,27
224,22500,23
225,22600,20
226,22700,24
227,22800,28
228,22900,35
229,23000,35
230,23100,31
231,23200,30
232,23300,24
233,23400,20
234,23500,29
235,23600,30
236,23700,20
237,23800,20
238,23900,28
239,24000,28
240,24100,30
241,24200,33
242,24300,40
243,24400,29
244,24500,28
245,24600,23
246,24700,26
247,24800,15
248,24900,18
249,25000,20
250,25100,28
251,25200,22
252,25300,28
253,25400,30
254,25500,31
255,25600,36
256,25700,32
257,25800,33
258,25900,25
259,26000,22
260,26100,24
261,26200,28
262,26300,33
263,26400,35
264,26500,33
265,26600,31
266,26700,30
267,26800,35
268,26900,38
269,27000,32
270,27100,23
