,step_history,queue_history
0,100,0
1,200,0
2,300,1
3,400,3
4,500,6
5,600,6
6,700,7
7,800,7
8,900,8
9,1000,10
10,1100,9
11,1200,11
12,1300,14
13,1400,16
14,1500,20
15,1600,23
16,1700,16
17,1800,12
18,1900,8
19,2000,10
20,2100,15
21,2200,19
22,2300,20
23,2400,18
24,2500,16
25,2600,12
26,2700,17
27,2800,14
28,2900,16
29,3000,12
30,3100,13
31,3200,15
32,3300,17
33,3400,17
34,3500,21
35,3600,23
36,3700,22
37,3800,17
38,3900,15
39,4000,13
40,4100,14
41,4200,15
42,4300,12
43,4400,15
44,4500,18
45,4600,20
46,4700,22
47,4800,21
48,4900,19
49,5000,21
50,5100,14
51,5200,12
52,5300,13
53,5400,18
54,5500,11
55,5600,7
56,5700,12
57,5800,18
58,5900,18
59,6000,14
60,6100,19
61,6200,17
62,6300,14
63,6400,14
64,6500,9
65,6600,16
66,6700,19
67,6800,24
68,6900,21
69,7000,18
70,7100,12
71,7200,13
72,7300,16
73,7400,15
74,7500,10
75,7600,7
76,7700,13
77,7800,15
78,7900,17
79,8000,17
80,8100,17
81,8200,18
82,8300,18
83,8400,15
84,8500,9
85,8600,7
86,8700,5
87,8800,10
88,8900,15
89,9000,15
90,9100,13
91,9200,14
92,9300,15
93,9400,13
94,9500,11
95,9600,9
96,9700,9
97,9800,11
98,9900,14
99,10000,18
100,10100,19
101,10200,17
102,10300,13
103,10400,8
104,10500,12
105,10600,14
106,10700,13
107,10800,9
108,10900,8
109,11000,11
110,11100,11
111,11200,10
112,11300,11
113,11400,9
114,11500,9
115,11600,12
116,11700,12
117,11800,13
118,11900,14
119,12000,10
120,12100,11
121,12200,10
122,12300,16
123,12400,18
124,12500,17
125,12600,16
126,12700,8
127,12800,5
128,12900,10
129,13000,14
130,13100,12
131,13200,19
132,13300,22
133,13400,18
134,13500,19
135,13600,14
136,13700,17
137,13800,19
138,13900,22
139,14000,21
140,14100,23
141,14200,25
142,14300,24
143,14400,20
144,14500,17
145,14600,17
146,14700,19
147,14800,19
148,14900,18
149,15000,19
150,15100,16
151,15200,13
152,15300,17
153,15400,23
154,15500,23
155,15600,15
156,15700,12
157,15800,12
158,15900,8
159,16000,13
160,16100,18
161,16200,19
162,16300,17
163,16400,17
164,16500,14
165,16600,8
166,16700,11
167,16800,13
168,16900,16
169,17000,23
170,17100,24
171,17200,19
172,17300,13
173,17400,19
174,17500,20
175,17600,24
176,17700,21
177,17800,19
178,17900,20
179,18000,23
180,18100,27
181,18200,27
182,18300,18
183,18400,15
184,18500,12
185,18600,17
186,18700,14
187,18800,13
188,18900,16
189,19000,22
190,19100,21
191,19200,17
192,19300,16
193,19400,16
194,19500,17
195,19600,12
196,19700,12
197,19800,9
198,19900,13
199,20000,17
200,20100,15
201,20200,14
202,20300,12
203,20400,11
204,20500,13
205,20600,11
206,20700,7
207,20800,13
208,20900,13
209,21000,11
210,21100,14
211,21200,10
212,21300,7
213,21400,14
214,21500,17
215,21600,17
216,21700,13
217,21800,17
218,21900,7
219,22000,7
220,22100,11
221,22200,15
222,22300,12
223,22400,15
224,22500,15
225,22600,14
226,22700,8
227,22800,6
228,22900,10
229,23000,8
230,23100,13
231,23200,16
232,23300,14
233,23400,14
234,23500,13
235,23600,18
236,23700,20
237,23800,17
238,23900,20
239,24000,16
240,24100,16
241,24200,13
242,24300,13
243,24400,13
244,24500,18
245,24600,18
246,24700,18
247,24800,12
248,24900,6
249,25000,10
250,25100,5
251,25200,10
252,25300,12
253,25400,8
254,25500,8
255,25600,12
256,25700,8
257,25800,14
258,25900,16
259,26000,20
260,26100,19
261,26200,18
262,26300,18
263,26400,14
264,26500,15
265,26600,15
266,26700,22
267,26800,27
268,26900,21
269,27000,13
270,27100,8
