,step_history,vehicle_history
0,100,4
1,200,9
2,300,12
3,400,17
4,500,22
5,600,28
6,700,34
7,800,36
8,900,42
9,1000,43
10,1100,45
11,1200,49
12,1300,54
13,1400,55
14,1500,58
15,1600,66
16,1700,65
17,1800,71
18,1900,72
19,2000,77
20,2100,80
21,2200,83
22,2300,86
23,2400,92
24,2500,97
25,2600,100
26,2700,106
27,2800,110
28,2900,110
29,3000,105
30,3100,106
31,3200,110
32,3300,113
33,3400,118
34,3500,115
35,3600,113
36,3700,105
37,3800,100
38,3900,94
39,4000,91
40,4100,92
41,4200,95
42,4300,98
43,4400,98
44,4500,100
45,4600,100
46,4700,102
47,4800,102
48,4900,102
49,5000,108
50,5100,110
51,5200,113
52,5300,115
53,5400,112
54,5500,113
55,5600,118
56,5700,121
57,5800,127
58,5900,127
59,6000,124
60,6100,121
61,6200,113
62,6300,104
63,6400,96
64,6500,91
65,6600,90
66,6700,97
67,6800,99
68,6900,97
69,7000,94
70,7100,95
71,7200,98
72,7300,103
73,7400,107
74,7500,113
75,7600,116
76,7700,114
77,7800,112
78,7900,116
79,8000,121
80,8100,123
81,8200,126
82,8300,124
83,8400,121
84,8500,122
85,8600,114
86,8700,112
87,8800,102
88,8900,99
89,9000,96
90,9100,100
91,9200,105
92,9300,106
93,9400,100
94,9500,95
95,9600,98
96,9700,103
97,9800,109
98,9900,114
99,10000,119
100,10100,120
101,10200,115
102,10300,120
103,10400,121
104,10500,126
105,10600,128
106,10700,127
107,10800,120
108,10900,117
109,11000,114
110,11100,104
111,11200,100
112,11300,101
113,11400,103
114,11500,108
115,11600,113
116,11700,115
117,11800,114
118,11900,112
119,12000,113
120,12100,114
121,12200,116
122,12300,118
123,12400,118
124,12500,122
125,12600,121
126,12700,123
127,12800,125
128,12900,129
129,13000,134
130,13100,133
131,13200,130
132,13300,121
133,13400,119
134,13500,115
135,13600,108
136,13700,107
137,13800,105
138,13900,109
139,14000,115
140,14100,116
141,14200,113
142,14300,113
143,14400,110
144,14500,115
145,14600,118
146,14700,123
147,14800,127
148,14900,129
149,15000,126
150,15100,125
151,15200,129
152,15300,131
153,15400,132
154,15500,133
155,15600,123
156,15700,115
157,15800,113
158,15900,108
159,16000,103
160,16100,99
161,16200,104
162,16300,111
163,16400,115
164,16500,114
165,16600,115
166,16700,109
167,16800,110
168,16900,112
169,17000,118
170,17100,127
171,17200,130
172,17300,129
173,17400,128
174,17500,129
175,17600,131
176,17700,133
177,17800,139
178,17900,137
179,18000,137
180,18100,129
181,18200,123
182,18300,115
183,18400,111
184,18500,115
185,18600,120
186,18700,125
187,18800,126
188,18900,127
189,19000,120
190,19100,120
191,19200,120
192,19300,124
193,19400,124
194,19500,126
195,19600,129
196,19700,130
197,19800,123
198,19900,116
199,20000,119
200,20100,122
201,20200,125
202,20300,127
203,20400,124
204,20500,118
205,20600,109
206,20700,109
207,20800,109
208,20900,104
209,21000,105
210,21100,102
211,21200,104
212,21300,106
213,21400,104
214,21500,100
215,21600,100
216,21700,99
217,21800,100
218,21900,104
219,22000,110
220,22100,111
221,22200,106
222,22300,110
223,22400,114
224,22500,117
225,22600,122
226,22700,123
227,22800,114
228,22900,108
229,23000,100
230,23100,91
231,23200,84
232,23300,86
233,23400,88
234,23500,91
235,23600,98
236,23700,99
237,23800,92
238,23900,90
239,24000,95
240,24100,100
241,24200,103
242,24300,110
243,24400,111
244,24500,113
245,24600,111
246,24700,113
247,24800,115
248,24900,117
249,25000,120
250,25100,122
251,25200,118
252,25300,114
253,25400,111
254,25500,104
255,25600,95
256,25700,94
257,25800,91
258,25900,94
259,26000,99
260,26100,101
261,26200,99
262,26300,100
263,26400,104
264,26500,105
265,26600,110
266,26700,114
267,26800,115
268,26900,116
269,27000,111
270,27100,116
271,27200,122
272,27300,125
273,27400,127
274,27500,129
275,27600,122
276,27700,117
277,27800,106
278,27900,94
279,28000,89
280,28100,87
281,28200,89
282,28300,91
283,28400,98
284,28500,99
285,28600,94
286,28700,93
287,28800,95
288,28900,101
289,29000,106
290,29100,115
291,29200,117
292,29300,120
293,29400,119
294,29500,122
295,29600,127
296,29700,131
297,29800,134
298,29900,134
299,30000,129
300,30100,127
301,30200,124
302,30300,114
303,30400,108
304,30500,107
305,30600,110
306,30700,115
307,30800,119
308,30900,123
309,31000,117
310,31100,111
311,31200,114
312,31300,115
313,31400,121
314,31500,126
315,31600,125
316,31700,129
317,31800,128
318,31900,128
319,32000,132
320,32100,135
321,32200,138
322,32300,141
323,32400,136
324,32500,130
325,32600,120
326,32700,108
327,32800,100
328,32900,97
329,33000,100
330,33100,106
331,33200,109
332,33300,107
333,33400,105
334,33500,98
335,33600,100
336,33700,108
337,33800,113
338,33900,118
339,34000,122
340,34100,122
341,34200,116
342,34300,118
343,34400,122
344,34500,125
345,34600,129
346,34700,131
347,34800,126
348,34900,122
349,35000,112
350,35100,108
351,35200,102
352,35300,97
353,35400,102
354,35500,106
355,35600,106
356,35700,105
357,35800,99
358,35900,97
359,36000,95
360,36100,98
361,36200,107
362,36300,113
363,36400,115
364,36500,117
365,36600,114
366,36700,118
