,step_history,vehicle_history
0,100,4
1,200,8
2,300,11
3,400,16
4,500,21
5,600,26
6,700,30
7,800,33
8,900,36
9,1000,38
10,1100,42
11,1200,43
12,1300,46
13,1400,47
14,1500,47
15,1600,53
16,1700,56
17,1800,55
18,1900,56
19,2000,62
20,2100,63
21,2200,64
22,2300,70
23,2400,75
24,2500,77
25,2600,81
26,2700,86
27,2800,89
28,2900,91
29,3000,90
30,3100,92
31,3200,97
32,3300,99
33,3400,102
34,3500,104
35,3600,98
36,3700,92
37,3800,85
38,3900,78
39,4000,73
40,4100,77
41,4200,83
42,4300,89
43,4400,93
44,4500,93
45,4600,86
46,4700,76
47,4800,77
48,4900,81
49,5000,85
50,5100,88
51,5200,85
52,5300,85
53,5400,83
54,5500,85
55,5600,87
56,5700,94
57,5800,96
58,5900,98
59,6000,96
60,6100,93
61,6200,89
62,6300,85
63,6400,80
64,6500,81
65,6600,81
66,6700,82
67,6800,85
68,6900,82
69,7000,77
70,7100,69
71,7200,74
72,7300,78
73,7400,82
74,7500,86
75,7600,88
76,7700,93
77,7800,92
78,7900,93
79,8000,96
80,8100,100
81,8200,106
82,8300,108
83,8400,103
84,8500,97
85,8600,88
86,8700,80
87,8800,72
88,8900,71
89,9000,72
90,9100,76
91,9200,81
92,9300,83
93,9400,81
94,9500,82
95,9600,85
96,9700,89
97,9800,96
98,9900,100
99,10000,102
100,10100,105
101,10200,101
102,10300,107
103,10400,112
104,10500,113
105,10600,113
106,10700,114
107,10800,108
108,10900,103
109,11000,95
110,11100,87
111,11200,85
112,11300,89
113,11400,91
114,11500,93
115,11600,99
116,11700,98
117,11800,94
118,11900,91
119,12000,95
120,12100,99
121,12200,101
122,12300,109
123,12400,113
124,12500,116
125,12600,114
126,12700,117
127,12800,118
128,12900,119
129,13000,121
130,13100,120
131,13200,117
132,13300,114
133,13400,106
134,13500,95
135,13600,88
136,13700,91
137,13800,92
138,13900,93
139,14000,100
140,14100,102
141,14200,96
142,14300,94
143,14400,97
144,14500,100
145,14600,99
146,14700,102
147,14800,107
148,14900,110
149,15000,106
150,15100,110
151,15200,113
152,15300,117
153,15400,122
154,15500,120
155,15600,117
156,15700,109
157,15800,105
158,15900,101
159,16000,92
160,16100,87
161,16200,86
162,16300,91
163,16400,96
164,16500,99
165,16600,92
166,16700,89
167,16800,91
168,16900,93
169,17000,101
170,17100,104
171,17200,107
172,17300,107
173,17400,102
174,17500,100
175,17600,106
176,17700,108
177,17800,108
178,17900,107
179,18000,101
180,18100,97
181,18200,97
182,18300,95
183,18400,93
184,18500,91
185,18600,94
186,18700,98
187,18800,103
188,18900,105
189,19000,104
190,19100,101
191,19200,100
192,19300,100
193,19400,103
194,19500,108
195,19600,110
196,19700,112
197,19800,103
198,19900,99
199,20000,99
200,20100,102
201,20200,105
202,20300,104
203,20400,101
204,20500,93
205,20600,84
206,20700,79
207,20800,77
208,20900,78
209,21000,78
210,21100,79
211,21200,85
212,21300,86
213,21400,81
214,21500,84
215,21600,89
216,21700,91
217,21800,98
218,21900,105
219,22000,110
220,22100,115
221,22200,107
222,22300,104
223,22400,109
224,22500,113
225,22600,117
226,22700,116
227,22800,108
228,22900,104
229,23000,101
230,23100,99
231,23200,93
232,23300,94
233,23400,97
234,23500,102
235,23600,108
236,23700,105
237,23800,102
238,23900,102
239,24000,103
240,24100,105
241,24200,110
242,24300,114
243,24400,118
244,24500,121
245,24600,115
246,24700,113
247,24800,117
248,24900,118
249,25000,120
250,25100,120
251,25200,115
252,25300,98
253,25400,89
254,25500,83
255,25600,78
256,25700,77
257,25800,84
258,25900,88
259,26000,93
260,26100,95
261,26200,87
262,26300,86
263,26400,90
264,26500,94
265,26600,97
266,26700,103
267,26800,106
268,26900,108
269,27000,104
270,27100,107
271,27200,113
272,27300,113
273,27400,118
274,27500,117
275,27600,112
276,27700,111
277,27800,112
278,27900,107
279,28000,96
280,28100,91
281,28200,86
282,28300,83
283,28400,88
284,28500,87
285,28600,81
286,28700,77
287,28800,76
288,28900,78
289,29000,81
290,29100,85
291,29200,86
292,29300,89
293,29400,88
294,29500,93
295,29600,95
296,29700,98
297,29800,100
298,29900,99
299,30000,93
300,30100,86
301,30200,76
302,30300,72
303,30400,71
304,30500,71
305,30600,75
306,30700,77
307,30800,80
308,30900,80
309,31000,73
310,31100,75
311,31200,77
312,31300,82
313,31400,84
314,31500,91
315,31600,93
316,31700,96
317,31800,93
318,31900,90
319,32000,91
320,32100,91
321,32200,94
322,32300,90
323,32400,85
324,32500,81
325,32600,79
326,32700,78
327,32800,73
328,32900,77
329,33000,81
330,33100,88
331,33200,91
332,33300,92
333,33400,89
334,33500,88
335,33600,91
336,33700,95
337,33800,100
338,33900,103
339,34000,106
340,34100,103
341,34200,105
342,34300,109
343,34400,114
344,34500,118
345,34600,118
346,34700,118
347,34800,115
348,34900,118
349,35000,114
350,35100,106
351,35200,100
352,35300,99
353,35400,98
354,35500,99
355,35600,101
356,35700,102
357,35800,96
358,35900,86
359,36000,87
360,36100,87
361,36200,91
362,36300,94
363,36400,98
364,36500,99
365,36600,94
366,36700,96
367,36800,99
368,36900,104
369,37000,106
370,37100,103
371,37200,98
372,37300,90
373,37400,86
374,37500,81
375,37600,77
376,37700,77
377,37800,80
378,37900,81
379,38000,84
380,38100,87
381,38200,81
382,38300,75
383,38400,79
384,38500,83
385,38600,85
386,38700,86
387,38800,90
388,38900,87
389,39000,84
390,39100,85
391,39200,91
392,39300,97
393,39400,104
394,39500,104
395,39600,96
396,39700,94
397,39800,90
398,39900,84
399,40000,82
