,step_history,waiting_history
0,100,3
1,200,8
2,300,10
3,400,14
4,500,140
5,600,441
6,700,909
7,800,1185
8,900,1494
9,1000,1797
10,1100,2241
11,1200,2953
12,1300,3344
13,1400,3538
14,1500,3737
15,1600,4313
16,1700,5244
17,1800,5918
18,1900,6451
19,2000,6781
20,2100,7265
21,2200,7659
22,2300,8226
23,2400,8860
24,2500,9287
25,2600,9493
26,2700,9498
27,2800,9656
28,2900,10264
29,3000,10505
30,3100,11030
31,3200,11433
32,3300,11900
33,3400,12693
34,3500,13331
35,3600,13672
36,3700,14042
37,3800,14369
38,3900,15037
39,4000,16114
40,4100,16934
41,4200,17419
42,4300,18012
43,4400,18524
44,4500,19085
45,4600,19877
46,4700,20547
47,4800,21162
48,4900,21597
49,5000,22122
50,5100,22548
51,5200,23221
52,5300,23587
53,5400,23960
54,5500,24426
55,5600,24879
56,5700,25838
57,5800,26730
58,5900,27249
59,6000,28129
60,6100,28845
61,6200,29306
62,6300,29787
63,6400,30320
64,6500,30825
65,6600,31276
66,6700,31643
67,6800,32078
68,6900,32547
69,7000,33147
70,7100,33871
71,7200,34666
72,7300,35220
73,7400,35655
74,7500,36040
75,7600,36607
76,7700,37461
77,7800,38179
78,7900,38440
79,8000,38587
80,8100,39037
81,8200,39566
82,8300,40191
83,8400,40773
84,8500,41280
85,8600,41737
86,8700,42048
87,8800,42421
88,8900,42595
89,9000,42947
90,9100,43364
91,9200,43673
92,9300,44230
93,9400,44708
94,9500,45080
95,9600,45370
96,9700,45607
97,9800,46030
98,9900,46490
99,10000,47122
100,10100,47529
101,10200,47922
102,10300,48253
103,10400,48459
104,10500,48788
105,10600,49414
106,10700,50085
107,10800,50390
108,10900,50621
109,11000,50850
110,11100,51352
111,11200,52167
112,11300,52882
113,11400,53099
114,11500,53229
115,11600,53527
116,11700,54190
117,11800,54871
118,11900,55409
119,12000,55798
120,12100,56209
121,12200,56903
122,12300,57809
123,12400,58744
124,12500,59462
125,12600,60059
126,12700,60550
127,12800,61019
128,12900,61777
129,13000,62725
130,13100,63541
131,13200,64006
132,13300,64403
133,13400,65036
134,13500,66003
135,13600,66840
136,13700,67479
137,13800,68608
138,13900,69275
139,14000,69754
140,14100,70227
141,14200,70980
142,14300,71907
143,14400,72568
144,14500,73211
145,14600,73922
146,14700,74658
147,14800,75144
148,14900,75424
149,15000,75816
150,15100,76522
151,15200,77463
152,15300,78083
153,15400,78372
154,15500,78696
155,15600,79204
156,15700,80082
157,15800,80939
158,15900,81475
159,16000,81994
160,16100,82530
161,16200,82890
162,16300,83599
163,16400,84592
164,16500,84935
165,16600,85505
166,16700,85936
167,16800,86491
168,16900,87351
169,17000,87797
170,17100,88271
171,17200,89120
172,17300,90050
173,17400,90976
174,17500,91662
175,17600,91964
176,17700,92570
177,17800,93618
178,17900,94695
179,18000,95595
180,18100,96197
181,18200,96871
182,18300,97493
183,18400,98269
184,18500,99129
185,18600,99910
186,18700,100685
187,18800,101238
188,18900,101801
189,19000,102536
190,19100,103512
191,19200,104769
192,19300,105713
193,19400,106666
194,19500,107088
195,19600,107550
196,19700,108161
197,19800,108977
198,19900,109932
199,20000,110699
200,20100,111288
201,20200,111627
202,20300,112160
203,20400,112777
204,20500,113447
205,20600,114245
206,20700,114627
207,20800,114734
208,20900,114908
209,21000,115346
210,21100,115970
211,21200,116515
212,21300,116885
213,21400,117280
214,21500,117812
215,21600,118601
216,21700,119469
217,21800,119973
218,21900,120478
219,22000,121140
220,22100,121684
221,22200,122415
222,22300,123062
223,22400,123257
224,22500,123495
225,22600,123719
226,22700,124141
227,22800,124776
228,22900,125361
229,23000,125632
230,23100,126066
231,23200,126716
232,23300,127446
233,23400,128232
234,23500,128941
235,23600,129553
236,23700,129881
237,23800,130246
238,23900,130758
239,24000,131431
240,24100,132423
241,24200,133389
242,24300,133841
243,24400,134594
244,24500,135191
245,24600,135797
246,24700,136319
247,24800,136757
248,24900,137257
249,25000,137535
250,25100,138112
251,25200,138903
252,25300,139382
253,25400,139798
254,25500,140036
255,25600,140380
256,25700,140974
257,25800,141282
258,25900,141632
259,26000,142089
260,26100,142654
261,26200,143499
262,26300,144343
263,26400,144761
264,26500,145026
265,26600,145344
266,26700,145624
267,26800,146108
268,26900,146624
269,27000,147037
270,27100,147306
271,27200,147858
272,27300,148447
273,27400,149184
274,27500,150087
275,27600,150629
276,27700,150993
277,27800,151500
278,27900,151832
279,28000,152388
280,28100,153101
281,28200,153795
282,28300,154106
283,28400,154413
284,28500,155009
285,28600,155742
286,28700,156135
287,28800,156698
288,28900,157145
289,29000,157760
290,29100,158495
291,29200,159252
292,29300,159929
293,29400,160606
294,29500,161329
295,29600,162008
296,29700,162635
297,29800,163220
298,29900,163675
299,30000,163982
300,30100,164497
301,30200,165421
302,30300,166259
303,30400,166586
304,30500,166942
305,30600,167400
306,30700,167977
307,30800,168701
308,30900,169490
309,31000,169897
310,31100,170368
311,31200,170675
312,31300,170944
313,31400,171698
314,31500,172184
315,31600,172545
316,31700,172839
317,31800,173178
318,31900,173675
319,32000,174088
320,32100,174670
321,32200,175257
322,32300,175737
323,32400,176261
324,32500,177052
325,32600,177969
326,32700,178739
327,32800,179335
328,32900,179762
329,33000,180268
330,33100,180834
331,33200,181198
332,33300,181786
333,33400,182360
334,33500,183064
335,33600,183656
336,33700,184093
337,33800,184615
338,33900,185146
339,34000,185893
340,34100,186635
341,34200,187211
342,34300,187415
343,34400,187605
344,34500,187909
345,34600,188530
346,34700,189414
347,34800,189737
348,34900,190099
349,35000,190705
350,35100,191384
351,35200,192466
352,35300,193607
353,35400,194666
354,35500,195409
355,35600,196437
356,35700,197592
357,35800,198577
358,35900,199274
359,36000,200016
360,36100,200717
361,36200,201439
362,36300,202131
363,36400,202690
364,36500,203267
365,36600,203901
366,36700,204369
367,36800,204912
368,36900,205608
369,37000,206336
370,37100,206396
371,37200,206588
372,37300,207038
373,37400,207784
374,37500,208479
375,37600,208938
376,37700,209357
377,37800,209714
378,37900,210191
379,38000,210920
380,38100,211682
381,38200,212645
382,38300,213586
383,38400,213989
384,38500,214094
385,38600,214374
386,38700,215029
387,38800,215762
388,38900,216506
389,39000,216945
390,39100,217523
391,39200,217879
392,39300,218601
393,39400,219584
394,39500,220257
395,39600,220360
396,39700,220490
397,39800,220881
398,39900,221625
399,40000,222450
