,step_history,waiting_history
0,100,4
1,200,9
2,300,12
3,400,89
4,500,278
5,600,484
6,700,610
7,800,887
8,900,1253
9,1000,1799
10,1100,2294
11,1200,2899
12,1300,3585
13,1400,4431
14,1500,5641
15,1600,6925
16,1700,7910
17,1800,8692
18,1900,9450
19,2000,10384
20,2100,11511
21,2200,12246
22,2300,13161
23,2400,14228
24,2500,15106
25,2600,15870
26,2700,17003
27,2800,18815
28,2900,20507
29,3000,22325
30,3100,23337
31,3200,24286
32,3300,25545
33,3400,26963
34,3500,28290
35,3600,29288
36,3700,30032
37,3800,31034
38,3900,32211
39,4000,32821
40,4100,33637
41,4200,34145
42,4300,34902
43,4400,35603
44,4500,36584
45,4600,37646
46,4700,38698
47,4800,39617
48,4900,40443
49,5000,40953
50,5100,41668
51,5200,42755
52,5300,43942
53,5400,45126
54,5500,46479
55,5600,47793
56,5700,48624
57,5800,49493
58,5900,50256
59,6000,51234
60,6100,52556
61,6200,53544
62,6300,54272
63,6400,54965
64,6500,55999
65,6600,57485
66,6700,58857
67,6800,59888
68,6900,60796
69,7000,61832
70,7100,62767
71,7200,63830
72,7300,65126
73,7400,66188
74,7500,67592
75,7600,69069
76,7700,70604
77,7800,72314
78,7900,73430
79,8000,74904
80,8100,76722
81,8200,78348
82,8300,79913
83,8400,81462
84,8500,82949
85,8600,84105
86,8700,85401
87,8800,87009
88,8900,88632
89,9000,90081
90,9100,90494
91,9200,90937
92,9300,91597
93,9400,92249
94,9500,92785
95,9600,93434
96,9700,94302
97,9800,95211
98,9900,96499
99,10000,98271
100,10100,99744
101,10200,100717
102,10300,101626
103,10400,102532
104,10500,103332
105,10600,104383
106,10700,105783
107,10800,106749
108,10900,107563
109,11000,108457
110,11100,108966
111,11200,109520
112,11300,110395
113,11400,111499
114,11500,112484
115,11600,113861
116,11700,115492
117,11800,116832
118,11900,117815
119,12000,118919
120,12100,120093
121,12200,120960
122,12300,122109
123,12400,123659
124,12500,124714
125,12600,125906
126,12700,127378
127,12800,128580
128,12900,129433
129,13000,130396
130,13100,131835
131,13200,133144
132,13300,134755
133,13400,136662
134,13500,138396
135,13600,139732
136,13700,141053
137,13800,142402
138,13900,143525
139,14000,144633
140,14100,145564
141,14200,146432
142,14300,147337
143,14400,148525
144,14500,149919
145,14600,151669
146,14700,153899
147,14800,156341
148,14900,158751
149,15000,160371
150,15100,162046
151,15200,163857
152,15300,165348
153,15400,166911
154,15500,168360
155,15600,169201
156,15700,170094
157,15800,171145
158,15900,172474
159,16000,173413
160,16100,174514
161,16200,175896
162,16300,177633
163,16400,179329
164,16500,180852
165,16600,182379
166,16700,183388
167,16800,184474
168,16900,186103
169,17000,187939
170,17100,190088
171,17200,192144
172,17300,194302
173,17400,196746
174,17500,198731
175,17600,200089
176,17700,201042
177,17800,202352
178,17900,203846
179,18000,205391
180,18100,207321
181,18200,209147
182,18300,211276
183,18400,213397
184,18500,215568
185,18600,216986
186,18700,218181
187,18800,219461
188,18900,220955
189,19000,222574
190,19100,223871
191,19200,225516
192,19300,227310
193,19400,228750
194,19500,229940
195,19600,231205
196,19700,232142
197,19800,233431
198,19900,234993
199,20000,236563
200,20100,238467
201,20200,240037
202,20300,241117
203,20400,242163
204,20500,242708
205,20600,243310
206,20700,244205
207,20800,244881
208,20900,245490
209,21000,246237
210,21100,246969
211,21200,247910
212,21300,248966
213,21400,250164
214,21500,251085
215,21600,251811
216,21700,252708
217,21800,253471
218,21900,254116
219,22000,255047
220,22100,256231
221,22200,257060
222,22300,258129
223,22400,259199
224,22500,259626
225,22600,260210
226,22700,261340
227,22800,262440
228,22900,263254
229,23000,264429
230,23100,265632
231,23200,266629
232,23300,267564
233,23400,268437
234,23500,269502
235,23600,270375
236,23700,271414
237,23800,272541
238,23900,273512
239,24000,274527
240,24100,275632
241,24200,276895
242,24300,278070
243,24400,279217
244,24500,280380
245,24600,281045
246,24700,281734
247,24800,282465
248,24900,283177
249,25000,283761
250,25100,284318
251,25200,285008
252,25300,286028
253,25400,287216
254,25500,288612
255,25600,289715
256,25700,290796
257,25800,291990
258,25900,292928
259,26000,293769
260,26100,294751
261,26200,296138
262,26300,297240
263,26400,298391
264,26500,299959
265,26600,301627
266,26700,303377
267,26800,305244
268,26900,306677
269,27000,307787
270,27100,308945
271,27200,310045
272,27300,311411
273,27400,312437
274,27500,313361
275,27600,314599
276,27700,315729
277,27800,316744
278,27900,317865
279,28000,318639
280,28100,319382
281,28200,320331
282,28300,321334
283,28400,322469
284,28500,323925
285,28600,325108
286,28700,326405
287,28800,328045
288,28900,329504
289,29000,330643
290,29100,331699
291,29200,333039
292,29300,334375
293,29400,335270
294,29500,336091
295,29600,337180
296,29700,338218
297,29800,339390
298,29900,340593
299,30000,341679
300,30100,342930
301,30200,344594
302,30300,346620
303,30400,348642
304,30500,350479
305,30600,352264
306,30700,354357
307,30800,356302
308,30900,358196
309,31000,360568
310,31100,362688
311,31200,363718
312,31300,364802
313,31400,366124
314,31500,366983
315,31600,368386
316,31700,369935
317,31800,371416
318,31900,372825
319,32000,374549
320,32100,376602
321,32200,378712
322,32300,380959
