,step_history,waiting_history
0,100,4
1,200,8
2,300,11
3,400,16
4,500,95
5,600,378
6,700,804
7,800,1281
8,900,1686
9,1000,2141
10,1100,2384
11,1200,2589
12,1300,2887
13,1400,3187
14,1500,3581
15,1600,4084
16,1700,4840
17,1800,5361
18,1900,5691
19,2000,6027
20,2100,6560
21,2200,7368
22,2300,8318
23,2400,9214
24,2500,9763
25,2600,10410
26,2700,11187
27,2800,11980
28,2900,12909
29,3000,14338
30,3100,15442
31,3200,15966
32,3300,16494
33,3400,17022
34,3500,17668
35,3600,18270
36,3700,19136
37,3800,20115
38,3900,21395
39,4000,22514
40,4100,23584
41,4200,24761
42,4300,25732
43,4400,26104
44,4500,26803
45,4600,27592
46,4700,28544
47,4800,29696
48,4900,30694
49,5000,31252
50,5100,31754
51,5200,32321
52,5300,32966
53,5400,33393
54,5500,33750
55,5600,34299
56,5700,34955
57,5800,35651
58,5900,36598
59,6000,37615
60,6100,38803
61,6200,39917
62,6300,41308
63,6400,42785
64,6500,43487
65,6600,44470
66,6700,45380
67,6800,46107
68,6900,47056
69,7000,47967
70,7100,48906
71,7200,50275
72,7300,51317
73,7400,51863
74,7500,52305
75,7600,52487
76,7700,52880
77,7800,53574
78,7900,54278
79,8000,54818
80,8100,55708
81,8200,56686
82,8300,57543
83,8400,58278
84,8500,59041
85,8600,59923
86,8700,60976
87,8800,62303
88,8900,63630
89,9000,64819
90,9100,65759
91,9200,66189
92,9300,66588
93,9400,67274
94,9500,67785
95,9600,68526
96,9700,69286
97,9800,70022
98,9900,70888
99,10000,71849
100,10100,73010
101,10200,74800
102,10300,76110
103,10400,77279
104,10500,78273
105,10600,79347
106,10700,79871
107,10800,80412
108,10900,80898
109,11000,81309
110,11100,81817
111,11200,82442
112,11300,83240
113,11400,84047
114,11500,84999
115,11600,86281
116,11700,87480
117,11800,88531
118,11900,89732
119,12000,91142
120,12100,91906
121,12200,92641
122,12300,93529
123,12400,94664
124,12500,95913
125,12600,97160
126,12700,98583
127,12800,100315
128,12900,102179
129,13000,103626
130,13100,104646
131,13200,105652
132,13300,106552
133,13400,107392
134,13500,108248
135,13600,109596
136,13700,110474
137,13800,111399
138,13900,112541
139,14000,113631
140,14100,114627
141,14200,115693
142,14300,117119
143,14400,118766
144,14500,120059
145,14600,121368
146,14700,122820
147,14800,124359
148,14900,125964
149,15000,127574
150,15100,129436
151,15200,130501
152,15300,131394
153,15400,132684
154,15500,133985
155,15600,135108
156,15700,136171
157,15800,137377
158,15900,138639
159,16000,139849
160,16100,140900
161,16200,142336
162,16300,144023
163,16400,145102
164,16500,146293
165,16600,147134
166,16700,147823
167,16800,148587
168,16900,149333
169,17000,150363
170,17100,151654
171,17200,152828
172,17300,154405
173,17400,155706
174,17500,157088
175,17600,158575
176,17700,159395
177,17800,160443
178,17900,161661
179,18000,162706
180,18100,163730
181,18200,164918
182,18300,166204
183,18400,167630
184,18500,168626
185,18600,169507
186,18700,170497
187,18800,171572
188,18900,172649
189,19000,173925
190,19100,175505
191,19200,176671
192,19300,177668
193,19400,178912
194,19500,180194
195,19600,181061
196,19700,181642
197,19800,182365
198,19900,183317
199,20000,184676
200,20100,185646
201,20200,186639
202,20300,187150
203,20400,187666
204,20500,188415
205,20600,189387
206,20700,190305
207,20800,191408
208,20900,192396
209,21000,193157
210,21100,193946
211,21200,194866
212,21300,195887
213,21400,196601
214,21500,197823
215,21600,199067
216,21700,200146
217,21800,201453
218,21900,202433
219,22000,203001
220,22100,203763
221,22200,204736
222,22300,205816
223,22400,207129
224,22500,208326
225,22600,209438
226,22700,210321
227,22800,210805
228,22900,211575
229,23000,212867
230,23100,214082
231,23200,215263
232,23300,216073
233,23400,217129
234,23500,218206
235,23600,219291
236,23700,220263
237,23800,221023
238,23900,221805
239,24000,222772
240,24100,223526
241,24200,224223
242,24300,225338
243,24400,226533
244,24500,227872
245,24600,229696
246,24700,231313
247,24800,232774
248,24900,234128
249,25000,235694
250,25100,236308
251,25200,237293
252,25300,238260
253,25400,239272
254,25500,240688
255,25600,241984
256,25700,242974
257,25800,244104
258,25900,244886
259,26000,245450
260,26100,246199
261,26200,247004
262,26300,247984
263,26400,249011
264,26500,249640
265,26600,250274
266,26700,251008
267,26800,251671
268,26900,252404
269,27000,253549
270,27100,254864
271,27200,256309
272,27300,257668
273,27400,259452
274,27500,261138
275,27600,262339
276,27700,263353
277,27800,264104
278,27900,264953
279,28000,265856
280,28100,266947
281,28200,268194
282,28300,269503
283,28400,270545
284,28500,271643
285,28600,272840
286,28700,273803
287,28800,274642
288,28900,274992
289,29000,275662
290,29100,276568
291,29200,277340
292,29300,278350
293,29400,279295
294,29500,280112
295,29600,280803
296,29700,281583
297,29800,282443
298,29900,283098
299,30000,283714
300,30100,284387
301,30200,285209
302,30300,286048
303,30400,286868
304,30500,287591
305,30600,288293
306,30700,289004
307,30800,289372
308,30900,289667
309,31000,290131
310,31100,290803
311,31200,291612
312,31300,292143
313,31400,292574
314,31500,293011
315,31600,293677
316,31700,294553
317,31800,295688
318,31900,296864
319,32000,298230
320,32100,299295
321,32200,300015
322,32300,300750
323,32400,301628
324,32500,302378
325,32600,303078
326,32700,303686
327,32800,304206
328,32900,304807
329,33000,305634
330,33100,306420
331,33200,307657
332,33300,309301
333,33400,310412
334,33500,311225
335,33600,312149
336,33700,312733
337,33800,313372
338,33900,314198
339,34000,314818
340,34100,315485
341,34200,316505
342,34300,317934
343,34400,319066
344,34500,320302
345,34600,321561
346,34700,322424
347,34800,323288
348,34900,324316
349,35000,325111
350,35100,325814
351,35200,327027
352,35300,328331
353,35400,329274
354,35500,330471
355,35600,331930
356,35700,333457
357,35800,335185
358,35900,336764
359,36000,338065
360,36100,338891
361,36200,339773
362,36300,340611
363,36400,341335
364,36500,342342
365,36600,343487
366,36700,344701
367,36800,345674
368,36900,346672
369,37000,347705
370,37100,348874
371,37200,349699
372,37300,350633
373,37400,351394
374,37500,352020
375,37600,352830
376,37700,354011
377,37800,354937
378,37900,356072
379,38000,357089
380,38100,357949
381,38200,358858
382,38300,359831
383,38400,361022
384,38500,362226
385,38600,363296
386,38700,364637
387,38800,365746
388,38900,366451
389,39000,367263
390,39100,368050
391,39200,369143
392,39300,370255
393,39400,371224
394,39500,372495
395,39600,373090
396,39700,373449
397,39800,374057
398,39900,374621
399,40000,375675
