,step_history,queue_history
0,100,0
1,200,0
2,300,1
3,400,2
4,500,4
5,600,8
6,700,12
7,800,10
8,900,9
9,1000,13
10,1100,18
11,1200,20
12,1300,16
13,1400,13
14,1500,15
15,1600,23
16,1700,22
17,1800,22
18,1900,22
19,2000,28
20,2100,27
21,2200,25
22,2300,32
23,2400,32
24,2500,33
25,2600,35
26,2700,33
27,2800,37
28,2900,29
29,3000,26
30,3100,25
31,3200,31
32,3300,33
33,3400,34
34,3500,28
35,3600,31
36,3700,30
37,3800,35
38,3900,32
39,4000,19
40,4100,21
41,4200,23
42,4300,31
43,4400,33
44,4500,36
45,4600,29
46,4700,21
47,4800,21
48,4900,22
49,5000,27
50,5100,33
51,5200,41
52,5300,38
53,5400,33
54,5500,25
55,5600,17
56,5700,19
57,5800,28
58,5900,39
59,6000,40
60,6100,36
61,6200,34
62,6300,28
63,6400,23
64,6500,22
65,6600,28
66,6700,35
67,6800,37
68,6900,31
69,7000,27
70,7100,14
71,7200,18
72,7300,23
73,7400,31
74,7500,34
75,7600,34
76,7700,33
77,7800,24
78,7900,25
79,8000,29
80,8100,38
81,8200,30
82,8300,29
83,8400,33
84,8500,28
85,8600,24
86,8700,27
87,8800,33
88,8900,30
89,9000,33
90,9100,32
91,9200,37
92,9300,28
93,9400,17
94,9500,25
95,9600,31
96,9700,32
97,9800,36
98,9900,38
99,10000,28
100,10100,21
101,10200,28
102,10300,32
103,10400,30
104,10500,42
105,10600,39
106,10700,38
107,10800,27
108,10900,23
109,11000,25
110,11100,24
111,11200,35
112,11300,39
113,11400,40
114,11500,38
115,11600,30
116,11700,27
117,11800,26
118,11900,31
119,12000,35
120,12100,42
121,12200,36
122,12300,38
123,12400,31
124,12500,31
125,12600,36
126,12700,41
127,12800,44
128,12900,33
129,13000,30
130,13100,29
131,13200,34
132,13300,40
133,13400,37
134,13500,36
135,13600,36
136,13700,40
137,13800,36
138,13900,35
139,14000,33
140,14100,29
141,14200,25
142,14300,22
143,14400,22
144,14500,26
145,14600,33
146,14700,42
147,14800,39
148,14900,33
149,15000,31
150,15100,29
151,15200,37
152,15300,33
153,15400,34
154,15500,38
155,15600,25
156,15700,20
157,15800,26
158,15900,27
159,16000,31
160,16100,39
161,16200,44
162,16300,35
163,16400,30
164,16500,28
165,16600,32
166,16700,30
167,16800,37
168,16900,39
169,17000,43
170,17100,35
171,17200,31
172,17300,33
173,17400,36
174,17500,38
175,17600,38
176,17700,41
177,17800,44
178,17900,38
179,18000,31
180,18100,29
181,18200,33
182,18300,37
183,18400,36
184,18500,34
185,18600,39
186,18700,36
187,18800,38
188,18900,40
189,19000,35
190,19100,35
191,19200,32
192,19300,35
193,19400,34
194,19500,28
195,19600,37
196,19700,40
197,19800,32
198,19900,35
199,20000,36
200,20100,30
201,20200,28
202,20300,22
203,20400,28
204,20500,35
205,20600,36
206,20700,38
207,20800,35
208,20900,32
209,21000,32
210,21100,37
211,21200,37
212,21300,34
213,21400,30
214,21500,31
215,21600,34
216,21700,33
217,21800,23
218,21900,26
219,22000,32
220,22100,38
221,22200,39
222,22300,28
223,22400,20
224,22500,14
225,22600,18
226,22700,29
227,22800,37
228,22900,44
229,23000,44
230,23100,33
231,23200,29
232,23300,24
233,23400,24
234,23500,27
235,23600,25
236,23700,31
237,23800,33
238,23900,40
239,24000,42
240,24100,31
241,24200,18
242,24300,19
243,24400,23
244,24500,33
245,24600,35
246,24700,40
247,24800,41
248,24900,36
249,25000,28
250,25100,21
251,25200,23
252,25300,23
253,25400,33
254,25500,33
255,25600,33
256,25700,40
257,25800,44
258,25900,29
259,26000,27
260,26100,30
261,26200,35
262,26300,35
263,26400,33
264,26500,37
265,26600,36
266,26700,32
267,26800,26
268,26900,31
269,27000,29
270,27100,28
