,step_history,queue_history
0,100,0
1,200,0
2,300,1
3,400,2
4,500,5
5,600,9
6,700,10
7,800,8
8,900,6
9,1000,10
10,1100,13
11,1200,14
12,1300,9
13,1400,5
14,1500,11
15,1600,14
16,1700,19
17,1800,12
18,1900,12
19,2000,10
20,2100,9
21,2200,13
22,2300,11
23,2400,13
24,2500,9
25,2600,8
26,2700,8
27,2800,12
28,2900,16
29,3000,9
30,3100,14
31,3200,17
32,3300,22
33,3400,22
34,3500,19
35,3600,11
36,3700,14
37,3800,18
38,3900,20
39,4000,20
40,4100,20
41,4200,13
42,4300,14
43,4400,17
44,4500,17
45,4600,21
46,4700,14
47,4800,11
48,4900,9
49,5000,15
50,5100,17
51,5200,20
52,5300,10
53,5400,12
54,5500,14
55,5600,20
56,5700,26
57,5800,19
58,5900,15
59,6000,12
60,6100,15
61,6200,10
62,6300,11
63,6400,15
64,6500,9
65,6600,10
66,6700,11
67,6800,12
68,6900,12
69,7000,23
70,7100,20
71,7200,16
72,7300,9
73,7400,8
74,7500,10
75,7600,16
76,7700,14
77,7800,12
78,7900,7
79,8000,8
80,8100,14
81,8200,13
82,8300,15
83,8400,11
84,8500,13
85,8600,15
86,8700,10
87,8800,9
88,8900,7
89,9000,9
90,9100,8
91,9200,22
92,9300,23
93,9400,13
94,9500,8
95,9600,8
96,9700,9
97,9800,11
98,9900,13
99,10000,13
100,10100,8
101,10200,10
102,10300,7
103,10400,9
104,10500,14
105,10600,20
106,10700,19
107,10800,6
108,10900,5
109,11000,9
110,11100,19
111,11200,22
112,11300,17
113,11400,7
114,11500,7
115,11600,13
116,11700,14
117,11800,19
118,11900,11
119,12000,9
120,12100,13
121,12200,21
122,12300,23
123,12400,24
124,12500,12
125,12600,9
126,12700,10
127,12800,16
128,12900,21
129,13000,24
130,13100,16
131,13200,9
132,13300,11
133,13400,15
134,13500,24
135,13600,22
136,13700,18
137,13800,21
138,13900,13
139,14000,19
140,14100,19
141,14200,24
142,14300,25
143,14400,16
144,14500,15
145,14600,21
146,14700,17
147,14800,12
148,14900,13
149,15000,20
150,15100,22
151,15200,24
152,15300,19
153,15400,13
154,15500,11
155,15600,15
156,15700,15
157,15800,18
158,15900,14
159,16000,14
160,16100,17
161,16200,17
162,16300,12
163,16400,15
164,16500,13
165,16600,15
166,16700,15
167,16800,17
168,16900,17
169,17000,10
170,17100,16
171,17200,20
172,17300,23
173,17400,23
174,17500,15
175,17600,14
176,17700,21
177,17800,27
178,17900,29
179,18000,21
180,18100,21
181,18200,18
182,18300,20
183,18400,18
184,18500,21
185,18600,22
186,18700,16
187,18800,12
188,18900,19
189,19000,26
190,19100,27
191,19200,28
192,19300,22
193,19400,17
194,19500,13
195,19600,19
196,19700,16
197,19800,23
198,19900,24
199,20000,20
200,20100,12
201,20200,6
202,20300,11
203,20400,19
204,20500,19
205,20600,21
206,20700,8
207,20800,9
208,20900,9
209,21000,13
210,21100,22
211,21200,18
212,21300,14
213,21400,15
214,21500,20
215,21600,19
216,21700,16
217,21800,13
218,21900,10
219,22000,19
220,22100,21
221,22200,22
222,22300,18
223,22400,14
224,22500,6
225,22600,10
226,22700,15
227,22800,20
228,22900,15
229,23000,10
230,23100,11
231,23200,15
232,23300,22
233,23400,27
234,23500,23
235,23600,24
236,23700,14
237,23800,11
238,23900,17
239,24000,19
240,24100,22
241,24200,23
242,24300,19
243,24400,23
244,24500,17
245,24600,14
246,24700,15
247,24800,10
248,24900,10
249,25000,20
250,25100,16
251,25200,10
252,25300,11
253,25400,6
254,25500,10
255,25600,14
256,25700,15
257,25800,11
258,25900,9
259,26000,13
260,26100,16
261,26200,19
262,26300,20
263,26400,17
264,26500,10
265,26600,9
266,26700,11
267,26800,17
268,26900,17
269,27000,12
270,27100,12
