,step_history,queue_history
0,100,0
1,200,0
2,300,1
3,400,3
4,500,5
5,600,9
6,700,10
7,800,10
8,900,9
9,1000,9
10,1100,6
11,1200,6
12,1300,11
13,1400,17
14,1500,22
15,1600,21
16,1700,11
17,1800,11
18,1900,16
19,2000,20
20,2100,25
21,2200,31
22,2300,26
23,2400,18
24,2500,12
25,2600,16
26,2700,17
27,2800,22
28,2900,26
29,3000,31
30,3100,23
31,3200,22
32,3300,24
33,3400,23
34,3500,27
35,3600,34
36,3700,33
37,3800,39
38,3900,34
39,4000,25
40,4100,22
41,4200,23
42,4300,27
43,4400,26
44,4500,32
45,4600,33
46,4700,30
47,4800,35
48,4900,35
49,5000,35
50,5100,26
51,5200,17
52,5300,12
53,5400,14
54,5500,24
55,5600,28
56,5700,26
57,5800,28
58,5900,14
59,6000,20
60,6100,26
61,6200,27
62,6300,27
63,6400,20
64,6500,23
65,6600,24
66,6700,27
67,6800,26
68,6900,26
69,7000,27
70,7100,26
71,7200,20
72,7300,22
73,7400,18
74,7500,17
75,7600,10
76,7700,15
77,7800,15
78,7900,21
79,8000,28
80,8100,26
81,8200,21
82,8300,21
83,8400,20
84,8500,24
85,8600,26
86,8700,19
87,8800,16
88,8900,21
89,9000,22
90,9100,21
91,9200,22
92,9300,20
93,9400,22
94,9500,25
95,9600,20
96,9700,17
97,9800,24
98,9900,24
99,10000,26
100,10100,36
101,10200,31
102,10300,25
103,10400,19
104,10500,13
105,10600,17
106,10700,26
107,10800,24
108,10900,28
109,11000,33
110,11100,26
111,11200,23
112,11300,19
113,11400,22
114,11500,24
115,11600,31
116,11700,31
117,11800,35
118,11900,32
119,12000,33
120,12100,21
121,12200,16
122,12300,23
123,12400,30
124,12500,34
125,12600,36
126,12700,30
127,12800,23
128,12900,27
129,13000,29
130,13100,32
131,13200,29
132,13300,32
133,13400,30
134,13500,30
135,13600,28
136,13700,36
137,13800,32
138,13900,27
139,14000,21
140,14100,28
141,14200,35
142,14300,30
143,14400,31
144,14500,28
145,14600,23
146,14700,20
147,14800,21
148,14900,25
149,15000,27
150,15100,26
151,15200,28
152,15300,31
153,15400,25
154,15500,23
155,15600,19
156,15700,16
157,15800,19
158,15900,30
159,16000,36
160,16100,37
161,16200,36
162,16300,32
163,16400,28
164,16500,25
165,16600,26
166,16700,30
167,16800,28
168,16900,34
169,17000,32
170,17100,24
171,17200,30
172,17300,30
173,17400,23
174,17500,22
175,17600,22
176,17700,26
177,17800,31
178,17900,38
179,18000,43
180,18100,43
181,18200,39
182,18300,26
183,18400,30
184,18500,33
185,18600,25
186,18700,26
187,18800,25
188,18900,25
189,19000,22
190,19100,24
191,19200,21
192,19300,20
193,19400,23
194,19500,16
195,19600,27
196,19700,32
197,19800,30
198,19900,29
199,20000,23
200,20100,20
201,20200,22
202,20300,22
203,20400,23
204,20500,19
205,20600,16
206,20700,20
207,20800,18
208,20900,20
209,21000,26
210,21100,24
211,21200,28
212,21300,30
213,21400,36
214,21500,29
215,21600,29
216,21700,28
217,21800,28
218,21900,23
219,22000,21
220,22100,26
221,22200,23
222,22300,23
223,22400,28
224,22500,22
225,22600,24
226,22700,23
227,22800,30
228,22900,29
229,23000,24
230,23100,22
231,23200,20
232,23300,29
233,23400,25
234,23500,24
235,23600,29
236,23700,24
237,23800,30
238,23900,31
239,24000,30
240,24100,28
241,24200,23
242,24300,17
243,24400,24
244,24500,27
245,24600,32
246,24700,32
247,24800,27
248,24900,27
249,25000,29
250,25100,34
251,25200,37
252,25300,29
253,25400,28
254,25500,21
255,25600,17
256,25700,15
257,25800,23
258,25900,19
259,26000,29
260,26100,29
261,26200,33
262,26300,34
263,26400,31
264,26500,20
265,26600,22
266,26700,23
267,26800,27
268,26900,31
269,27000,35
270,27100,33
