,step_history,vehicle_history
0,100,4
1,200,9
2,300,12
3,400,17
4,500,22
5,600,28
6,700,34
7,800,36
8,900,42
9,1000,44
10,1100,47
11,1200,51
12,1300,54
13,1400,56
14,1500,61
15,1600,67
16,1700,70
17,1800,75
18,1900,67
19,2000,70
20,2100,76
21,2200,80
22,2300,83
23,2400,84
24,2500,84
25,2600,83
26,2700,84
27,2800,86
28,2900,88
29,3000,89
30,3100,86
31,3200,87
32,3300,85
33,3400,89
34,3500,93
35,3600,97
36,3700,99
37,3800,97
38,3900,100
39,4000,99
40,4100,94
41,4200,92
42,4300,88
43,4400,87
44,4500,86
45,4600,93
46,4700,100
47,4800,102
48,4900,101
49,5000,103
50,5100,95
51,5200,93
52,5300,91
53,5400,90
54,5500,89
55,5600,89
56,5700,92
57,5800,93
58,5900,99
59,6000,102
60,6100,105
61,6200,101
62,6300,100
63,6400,90
64,6500,80
65,6600,77
66,6700,78
67,6800,76
68,6900,80
69,7000,85
70,7100,88
71,7200,89
72,7300,94
73,7400,94
74,7500,92
75,7600,83
76,7700,84
77,7800,83
78,7900,89
79,8000,93
80,8100,93
81,8200,93
82,8300,91
83,8400,93
84,8500,96
85,8600,96
86,8700,96
87,8800,101
88,8900,103
89,9000,102
90,9100,95
91,9200,89
92,9300,90
93,9400,94
94,9500,85
95,9600,84
96,9700,87
97,9800,91
98,9900,95
99,10000,96
100,10100,93
101,10200,92
102,10300,97
103,10400,96
104,10500,92
105,10600,87
106,10700,88
107,10800,91
108,10900,98
109,11000,101
110,11100,101
111,11200,106
112,11300,108
113,11400,106
114,11500,110
115,11600,109
116,11700,114
117,11800,116
118,11900,104
119,12000,95
120,12100,95
121,12200,93
122,12300,93
123,12400,94
124,12500,96
125,12600,97
126,12700,97
127,12800,100
128,12900,104
129,13000,99
130,13100,95
131,13200,99
132,13300,105
133,13400,105
134,13500,107
135,13600,106
136,13700,110
137,13800,107
138,13900,102
139,14000,104
140,14100,108
141,14200,102
142,14300,100
143,14400,97
144,14500,97
145,14600,96
146,14700,95
147,14800,96
148,14900,99
149,15000,103
150,15100,107
151,15200,112
152,15300,114
153,15400,116
154,15500,118
155,15600,112
156,15700,106
157,15800,103
158,15900,96
159,16000,95
160,16100,94
161,16200,92
162,16300,92
163,16400,92
164,16500,96
165,16600,102
166,16700,104
167,16800,105
168,16900,105
169,17000,105
170,17100,108
171,17200,107
172,17300,101
173,17400,98
174,17500,101
175,17600,103
176,17700,106
177,17800,110
178,17900,113
179,18000,114
180,18100,110
181,18200,112
182,18300,113
183,18400,112
184,18500,111
185,18600,104
186,18700,108
187,18800,105
188,18900,103
189,19000,94
190,19100,94
191,19200,95
192,19300,96
193,19400,96
194,19500,98
195,19600,104
196,19700,103
197,19800,102
198,19900,101
199,20000,102
200,20100,99
201,20200,94
202,20300,96
203,20400,100
204,20500,101
205,20600,96
206,20700,97
207,20800,94
208,20900,97
209,21000,100
210,21100,99
211,21200,95
212,21300,96
213,21400,95
214,21500,90
215,21600,84
216,21700,79
217,21800,83
218,21900,85
219,22000,87
220,22100,87
221,22200,88
222,22300,93
223,22400,98
224,22500,102
225,22600,99
226,22700,99
227,22800,95
228,22900,89
229,23000,82
230,23100,83
231,23200,86
232,23300,91
233,23400,94
234,23500,97
235,23600,104
236,23700,99
237,23800,95
238,23900,93
239,24000,88
240,24100,85
241,24200,80
242,24300,84
243,24400,88
244,24500,91
245,24600,94
246,24700,95
247,24800,95
248,24900,95
249,25000,96
250,25100,99
251,25200,99
252,25300,100
253,25400,96
254,25500,97
255,25600,101
256,25700,104
257,25800,105
258,25900,98
259,26000,99
260,26100,99
261,26200,96
262,26300,98
263,26400,93
264,26500,91
265,26600,89
266,26700,95
267,26800,88
268,26900,82
269,27000,81
270,27100,83
271,27200,85
272,27300,84
273,27400,86
274,27500,84
275,27600,85
276,27700,91
277,27800,92
278,27900,94
279,28000,90
280,28100,90
281,28200,84
282,28300,79
283,28400,81
284,28500,84
285,28600,83
286,28700,81
287,28800,75
288,28900,77
289,29000,84
290,29100,88
291,29200,95
292,29300,96
293,29400,96
294,29500,94
295,29600,99
296,29700,100
297,29800,99
298,29900,100
299,30000,99
300,30100,99
301,30200,99
302,30300,95
303,30400,96
304,30500,101
305,30600,105
306,30700,110
307,30800,110
308,30900,107
309,31000,106
310,31100,107
311,31200,111
312,31300,111
313,31400,115
314,31500,113
315,31600,110
316,31700,110
317,31800,107
318,31900,105
319,32000,108
320,32100,113
321,32200,118
322,32300,123
323,32400,124
324,32500,109
325,32600,97
326,32700,96
327,32800,96
328,32900,96
329,33000,98
330,33100,97
331,33200,96
332,33300,100
333,33400,107
334,33500,108
335,33600,109
336,33700,106
337,33800,101
338,33900,98
339,34000,92
340,34100,91
341,34200,86
342,34300,91
343,34400,97
344,34500,100
345,34600,93
346,34700,93
347,34800,96
348,34900,96
349,35000,99
350,35100,100
351,35200,101
352,35300,100
353,35400,97
354,35500,90
355,35600,87
356,35700,78
357,35800,77
358,35900,82
359,36000,81
360,36100,78
361,36200,87
362,36300,93
363,36400,98
364,36500,103
365,36600,107
366,36700,110
