,step_history,vehicle_history
0,100,3
1,200,8
2,300,10
3,400,14
4,500,18
5,600,22
6,700,22
7,800,26
8,900,29
9,1000,30
10,1100,31
11,1200,35
12,1300,37
13,1400,39
14,1500,39
15,1600,42
16,1700,40
17,1800,38
18,1900,39
19,2000,41
20,2100,41
21,2200,41
22,2300,44
23,2400,45
24,2500,41
25,2600,43
26,2700,43
27,2800,46
28,2900,47
29,3000,50
30,3100,50
31,3200,53
32,3300,52
33,3400,51
34,3500,52
35,3600,55
36,3700,55
37,3800,59
38,3900,57
39,4000,50
40,4100,47
41,4200,50
42,4300,52
43,4400,53
44,4500,56
45,4600,53
46,4700,47
47,4800,45
48,4900,46
49,5000,43
50,5100,43
51,5200,44
52,5300,47
53,5400,45
54,5500,48
55,5600,53
56,5700,52
57,5800,50
58,5900,47
59,6000,49
60,6100,50
61,6200,44
62,6300,45
63,6400,46
64,6500,43
65,6600,45
66,6700,46
67,6800,39
68,6900,36
69,7000,36
70,7100,35
71,7200,38
72,7300,38
73,7400,34
74,7500,37
75,7600,38
76,7700,41
77,7800,44
78,7900,48
79,8000,45
80,8100,48
81,8200,46
82,8300,43
83,8400,43
84,8500,35
85,8600,33
86,8700,38
87,8800,41
88,8900,42
89,9000,41
90,9100,44
91,9200,43
92,9300,44
93,9400,46
94,9500,40
95,9600,43
96,9700,46
97,9800,45
98,9900,43
99,10000,41
100,10100,43
101,10200,45
102,10300,45
103,10400,46
104,10500,43
105,10600,41
106,10700,45
107,10800,50
108,10900,48
109,11000,44
110,11100,43
111,11200,43
112,11300,45
113,11400,43
114,11500,44
115,11600,45
116,11700,48
117,11800,51
118,11900,49
119,12000,42
120,12100,40
121,12200,44
122,12300,45
123,12400,43
124,12500,43
125,12600,47
126,12700,50
127,12800,50
128,12900,50
129,13000,50
130,13100,52
131,13200,53
132,13300,56
133,13400,54
134,13500,56
135,13600,59
136,13700,59
137,13800,54
138,13900,56
139,14000,59
140,14100,63
141,14200,65
142,14300,68
143,14400,71
144,14500,63
145,14600,58
146,14700,57
147,14800,61
148,14900,62
149,15000,58
150,15100,60
151,15200,55
152,15300,51
153,15400,44
154,15500,44
155,15600,43
156,15700,41
157,15800,47
158,15900,47
159,16000,49
160,16100,52
161,16200,52
162,16300,51
163,16400,49
164,16500,47
165,16600,49
166,16700,45
167,16800,47
168,16900,52
169,17000,48
170,17100,49
171,17200,52
172,17300,54
173,17400,52
174,17500,56
175,17600,56
176,17700,59
177,17800,62
178,17900,65
179,18000,65
180,18100,57
181,18200,57
182,18300,56
183,18400,54
184,18500,55
185,18600,57
186,18700,58
187,18800,62
188,18900,59
189,19000,54
190,19100,52
191,19200,54
192,19300,55
193,19400,54
194,19500,51
195,19600,50
196,19700,52
197,19800,53
198,19900,56
199,20000,53
200,20100,50
201,20200,48
202,20300,48
203,20400,44
204,20500,41
205,20600,42
206,20700,44
207,20800,46
208,20900,46
209,21000,46
210,21100,43
211,21200,43
212,21300,44
213,21400,47
214,21500,48
215,21600,50
216,21700,51
217,21800,48
218,21900,42
219,22000,46
220,22100,47
221,22200,43
222,22300,45
223,22400,48
224,22500,51
225,22600,47
226,22700,46
227,22800,49
228,22900,53
229,23000,53
230,23100,53
231,23200,55
232,23300,53
233,23400,53
234,23500,56
235,23600,53
236,23700,55
237,23800,54
238,23900,54
239,24000,56
240,24100,54
241,24200,55
242,24300,55
243,24400,55
244,24500,57
245,24600,56
246,24700,49
247,24800,44
248,24900,38
249,25000,38
250,25100,40
251,25200,42
252,25300,42
253,25400,39
254,25500,37
255,25600,39
256,25700,41
257,25800,42
258,25900,45
259,26000,47
260,26100,52
261,26200,51
262,26300,49
263,26400,50
264,26500,50
265,26600,50
266,26700,52
267,26800,53
268,26900,56
269,27000,50
270,27100,50
271,27200,52
272,27300,51
273,27400,47
274,27500,44
275,27600,41
276,27700,42
277,27800,44
278,27900,45
279,28000,40
280,28100,42
281,28200,43
282,28300,44
283,28400,43
284,28500,40
285,28600,40
286,28700,37
287,28800,35
288,28900,37
289,29000,40
290,29100,41
291,29200,45
292,29300,48
293,29400,49
294,29500,53
295,29600,49
296,29700,42
297,29800,42
298,29900,47
299,30000,47
300,30100,49
301,30200,48
302,30300,45
303,30400,48
304,30500,46
305,30600,46
306,30700,47
307,30800,48
308,30900,45
309,31000,47
310,31100,48
311,31200,47
312,31300,49
313,31400,49
314,31500,44
315,31600,47
316,31700,47
317,31800,49
318,31900,52
319,32000,52
320,32100,54
321,32200,53
322,32300,55
323,32400,45
324,32500,46
325,32600,49
326,32700,50
327,32800,44
328,32900,47
329,33000,46
330,33100,47
331,33200,49
332,33300,48
333,33400,49
334,33500,47
335,33600,49
336,33700,48
337,33800,50
338,33900,52
339,34000,55
340,34100,49
341,34200,47
342,34300,45
343,34400,46
344,34500,49
345,34600,52
346,34700,54
347,34800,52
348,34900,56
349,35000,58
350,35100,60
351,35200,60
352,35300,56
353,35400,59
354,35500,62
355,35600,60
356,35700,60
357,35800,61
358,35900,61
359,36000,54
360,36100,58
361,36200,60
362,36300,57
363,36400,53
364,36500,55
365,36600,54
366,36700,49
367,36800,46
368,36900,42
369,37000,40
370,37100,42
371,37200,43
372,37300,46
373,37400,47
374,37500,47
375,37600,47
376,37700,49
377,37800,52
378,37900,52
379,38000,46
380,38100,42
381,38200,43
382,38300,44
383,38400,44
384,38500,44
385,38600,47
386,38700,44
387,38800,46
388,38900,47
389,39000,49
390,39100,50
391,39200,52
392,39300,53
393,39400,50
394,39500,50
395,39600,52
396,39700,52
397,39800,56
398,39900,59
399,40000,61
