,step_history,vehicle_history
0,100,4
1,200,8
2,300,11
3,400,16
4,500,21
5,600,26
6,700,30
7,800,34
8,900,38
9,1000,41
10,1100,46
11,1200,49
12,1300,45
13,1400,46
14,1500,48
15,1600,53
16,1700,56
17,1800,57
18,1900,59
19,2000,63
20,2100,66
21,2200,69
22,2300,68
23,2400,68
24,2500,69
25,2600,66
26,2700,69
27,2800,73
28,2900,77
29,3000,82
30,3100,85
31,3200,85
32,3300,84
33,3400,81
34,3500,78
35,3600,76
36,3700,77
37,3800,80
38,3900,83
39,4000,81
40,4100,82
41,4200,80
42,4300,80
43,4400,79
44,4500,73
45,4600,69
46,4700,69
47,4800,66
48,4900,69
49,5000,74
50,5100,76
51,5200,72
52,5300,70
53,5400,74
54,5500,72
55,5600,70
56,5700,64
57,5800,61
58,5900,64
59,6000,67
60,6100,71
61,6200,76
62,6300,78
63,6400,71
64,6500,67
65,6600,68
66,6700,65
67,6800,65
68,6900,65
69,7000,62
70,7100,65
71,7200,70
72,7300,73
73,7400,74
74,7500,70
75,7600,67
76,7700,65
77,7800,65
78,7900,67
79,8000,66
80,8100,68
81,8200,73
82,8300,76
83,8400,77
84,8500,81
85,8600,83
86,8700,83
87,8800,78
88,8900,73
89,9000,74
90,9100,77
91,9200,80
92,9300,82
93,9400,79
94,9500,75
95,9600,73
96,9700,72
97,9800,71
98,9900,73
99,10000,77
100,10100,78
101,10200,80
102,10300,83
103,10400,81
104,10500,80
105,10600,77
106,10700,73
107,10800,71
108,10900,76
109,11000,79
110,11100,75
111,11200,71
112,11300,74
113,11400,74
114,11500,75
115,11600,80
116,11700,85
117,11800,88
118,11900,88
119,12000,85
120,12100,80
121,12200,76
122,12300,81
123,12400,84
124,12500,85
125,12600,83
126,12700,87
127,12800,90
128,12900,90
129,13000,92
130,13100,91
131,13200,87
132,13300,88
133,13400,88
134,13500,88
135,13600,83
136,13700,83
137,13800,84
138,13900,89
139,14000,92
140,14100,96
141,14200,96
142,14300,99
143,14400,105
144,14500,93
145,14600,86
146,14700,81
147,14800,79
148,14900,77
149,15000,80
150,15100,82
151,15200,86
152,15300,90
153,15400,90
154,15500,89
155,15600,85
156,15700,85
157,15800,89
158,15900,87
159,16000,90
160,16100,94
161,16200,92
162,16300,92
163,16400,92
164,16500,84
165,16600,77
166,16700,71
167,16800,70
168,16900,72
169,17000,78
170,17100,80
171,17200,85
172,17300,88
173,17400,90
174,17500,87
175,17600,83
176,17700,80
177,17800,85
178,17900,81
179,18000,78
180,18100,83
181,18200,84
182,18300,85
183,18400,86
184,18500,80
185,18600,78
186,18700,80
187,18800,79
188,18900,80
189,19000,81
190,19100,78
191,19200,78
192,19300,81
193,19400,83
194,19500,84
195,19600,81
196,19700,74
197,19800,72
198,19900,68
199,20000,63
200,20100,60
201,20200,64
202,20300,67
203,20400,71
204,20500,75
205,20600,73
206,20700,71
207,20800,72
208,20900,74
209,21000,74
210,21100,76
211,21200,80
212,21300,76
213,21400,69
214,21500,72
215,21600,73
216,21700,75
217,21800,79
218,21900,85
219,22000,92
220,22100,93
221,22200,89
222,22300,87
223,22400,89
224,22500,93
225,22600,96
226,22700,98
227,22800,92
228,22900,97
229,23000,91
230,23100,81
231,23200,74
232,23300,76
233,23400,77
234,23500,75
235,23600,75
236,23700,77
237,23800,82
238,23900,82
239,24000,83
240,24100,81
241,24200,81
242,24300,78
243,24400,72
244,24500,75
245,24600,78
246,24700,78
247,24800,77
248,24900,78
249,25000,79
250,25100,81
251,25200,78
252,25300,75
253,25400,65
254,25500,69
255,25600,73
256,25700,77
257,25800,85
258,25900,81
259,26000,77
260,26100,75
261,26200,78
262,26300,80
263,26400,83
264,26500,85
265,26600,88
266,26700,92
267,26800,92
268,26900,91
269,27000,92
270,27100,95
271,27200,93
272,27300,90
273,27400,88
274,27500,87
275,27600,90
276,27700,89
277,27800,91
278,27900,89
279,28000,83
280,28100,74
281,28200,70
282,28300,63
283,28400,62
284,28500,62
285,28600,65
286,28700,63
287,28800,61
288,28900,58
289,29000,63
290,29100,63
291,29200,66
292,29300,64
293,29400,66
294,29500,69
295,29600,67
296,29700,72
297,29800,71
298,29900,72
299,30000,70
300,30100,70
301,30200,69
302,30300,61
303,30400,64
304,30500,62
305,30600,67
306,30700,66
307,30800,62
308,30900,59
309,31000,62
310,31100,63
311,31200,60
312,31300,64
313,31400,64
314,31500,63
315,31600,61
316,31700,62
317,31800,67
318,31900,67
319,32000,70
320,32100,71
321,32200,70
322,32300,71
323,32400,71
324,32500,67
325,32600,69
326,32700,72
327,32800,73
328,32900,76
329,33000,71
330,33100,68
331,33200,68
332,33300,73
333,33400,76
334,33500,81
335,33600,82
336,33700,82
337,33800,86
338,33900,87
339,34000,87
340,34100,81
341,34200,83
342,34300,80
343,34400,86
344,34500,90
345,34600,94
346,34700,87
347,34800,89
348,34900,91
349,35000,83
350,35100,78
351,35200,78
352,35300,72
353,35400,74
354,35500,80
355,35600,84
356,35700,84
357,35800,84
358,35900,80
359,36000,72
360,36100,68
361,36200,66
362,36300,62
363,36400,63
364,36500,62
365,36600,66
366,36700,72
367,36800,75
368,36900,81
369,37000,78
370,37100,72
371,37200,70
372,37300,65
373,37400,62
374,37500,60
375,37600,61
376,37700,63
377,37800,61
378,37900,63
379,38000,66
380,38100,71
381,38200,71
382,38300,67
383,38400,64
384,38500,62
385,38600,66
386,38700,68
387,38800,70
388,38900,68
389,39000,70
390,39100,67
391,39200,70
392,39300,75
393,39400,78
394,39500,83
395,39600,80
396,39700,79
397,39800,76
398,39900,77
399,40000,81
