,step_history,waiting_history
0,100,4
1,200,9
2,300,12
3,400,17
4,500,22
5,600,43
6,700,241
7,800,594
8,900,1000
9,1000,1548
10,1100,2380
11,1200,3351
12,1300,4274
13,1400,5579
14,1500,7098
15,1600,8728
16,1700,10404
17,1800,12405
18,1900,14085
19,2000,16402
20,2100,18972
21,2200,21805
22,2300,24530
23,2400,27846
24,2500,28665
25,2600,29648
26,2700,30674
27,2800,31981
28,2900,33538
29,3000,35300
30,3100,37205
31,3200,39306
32,3300,41802
33,3400,44777
34,3500,47986
35,3600,51446
36,3700,54072
37,3800,56999
38,3900,60313
39,4000,64100
40,4100,67124
41,4200,70732
42,4300,73228
43,4400,75927
44,4500,78701
45,4600,82099
46,4700,85513
47,4800,89214
48,4900,90143
49,5000,91424
50,5100,92374
51,5200,93542
52,5300,94991
53,5400,96596
54,5500,98064
55,5600,99923
56,5700,102434
57,5800,105269
58,5900,108324
59,6000,111606
60,6100,114172
61,6200,117232
62,6300,120521
63,6400,123976
64,6500,127214
65,6600,130896
66,6700,133786
67,6800,137202
68,6900,140312
69,7000,143828
70,7100,147396
71,7200,151529
72,7300,152322
73,7400,153343
74,7500,154250
75,7600,155295
76,7700,156796
77,7800,158924
78,7900,161220
79,8000,163714
80,8100,166497
81,8200,169403
82,8300,172517
83,8400,175723
84,8500,177351
85,8600,179305
86,8700,181713
87,8800,184602
88,8900,187535
89,9000,191014
90,9100,193385
91,9200,196207
92,9300,199164
93,9400,202606
94,9500,205876
95,9600,209431
96,9700,209952
97,9800,210650
98,9900,211084
99,10000,211875
100,10100,213304
101,10200,215233
102,10300,217240
103,10400,219551
104,10500,222400
105,10600,225843
106,10700,229447
107,10800,233091
108,10900,235768
109,11000,238820
110,11100,242105
111,11200,245668
112,11300,248968
113,11400,252629
114,11500,255385
115,11600,258916
116,11700,262153
117,11800,265872
118,11900,269535
119,12000,273762
120,12100,274577
121,12200,275554
122,12300,276354
123,12400,277240
124,12500,278612
125,12600,280782
126,12700,283188
127,12800,285731
128,12900,288547
129,13000,291715
130,13100,295109
131,13200,298728
132,13300,301576
133,13400,305164
134,13500,309023
135,13600,313157
136,13700,316877
137,13800,321191
138,13900,324310
139,14000,327644
140,14100,330342
141,14200,333485
142,14300,337049
143,14400,341204
144,14500,341743
145,14600,342621
146,14700,343462
147,14800,344498
148,14900,346091
149,15000,348290
150,15100,350841
151,15200,353822
152,15300,357165
153,15400,360733
154,15500,364578
155,15600,368742
156,15700,371516
157,15800,374506
158,15900,377686
159,16000,381240
160,16100,384447
161,16200,388327
162,16300,390702
163,16400,393390
164,16500,396115
165,16600,399518
166,16700,403199
167,16800,407559
168,16900,408659
169,17000,410038
170,17100,411149
171,17200,412458
172,17300,414070
173,17400,416101
174,17500,418269
175,17600,420572
176,17700,423388
177,17800,427100
178,17900,431323
179,18000,435928
180,18100,439850
181,18200,444284
182,18300,449084
183,18400,454310
184,18500,459107
185,18600,464535
186,18700,468364
187,18800,472528
188,18900,476371
189,19000,480609
190,19100,484658
191,19200,489155
192,19300,490446
193,19400,492095
194,19500,493269
195,19600,494505
196,19700,495599
197,19800,497164
198,19900,498789
199,20000,500738
200,20100,503091
201,20200,505667
202,20300,508552
203,20400,511703
204,20500,514182
205,20600,517016
206,20700,520234
207,20800,523728
208,20900,526875
209,21000,530376
210,21100,532899
211,21200,535906
212,21300,538905
213,21400,542370
214,21500,545879
215,21600,549883
216,21700,550722
217,21800,551583
218,21900,552189
219,22000,553020
220,22100,554122
221,22200,555522
222,22300,556948
223,22400,558566
224,22500,560366
225,22600,562343
226,22700,564504
227,22800,566741
228,22900,568134
229,23000,569982
230,23100,572099
231,23200,574446
232,23300,576864
233,23400,579961
234,23500,582208
235,23600,584873
236,23700,587679
237,23800,590985
238,23900,594434
239,24000,598458
240,24100,599110
241,24200,599900
242,24300,600572
243,24400,601440
244,24500,602746
245,24600,604516
246,24700,606414
247,24800,608703
248,24900,611359
249,25000,614170
250,25100,617154
251,25200,620214
252,25300,622076
253,25400,624364
254,25500,626947
255,25600,629911
256,25700,632800
257,25800,636478
258,25900,639534
259,26000,643044
260,26100,646006
261,26200,649440
262,26300,653206
263,26400,657644
264,26500,658635
265,26600,659671
266,26700,660548
267,26800,661748
268,26900,663085
269,27000,664870
270,27100,666650
271,27200,668658
272,27300,671000
273,27400,673860
274,27500,677022
275,27600,680387
276,27700,682667
277,27800,685327
278,27900,688257
279,28000,691671
280,28100,694714
281,28200,698166
282,28300,700751
283,28400,703826
284,28500,706772
285,28600,710146
286,28700,713947
287,28800,718520
288,28900,719427
289,29000,720457
290,29100,721323
291,29200,722343
292,29300,723632
293,29400,725462
294,29500,727317
295,29600,729441
296,29700,731992
297,29800,735216
298,29900,738756
299,30000,742461
300,30100,745361
301,30200,748991
302,30300,752886
303,30400,757179
304,30500,761192
305,30600,766102
306,30700,769110
307,30800,772375
308,30900,775582
309,31000,779191
310,31100,782917
311,31200,787313
312,31300,788341
313,31400,789611
314,31500,790775
315,31600,792099
316,31700,793929
317,31800,796357
318,31900,798495
319,32000,800975
320,32100,803841
321,32200,807176
322,32300,810817
