,step_history,waiting_history
0,100,4
1,200,8
2,300,11
3,400,16
4,500,21
5,600,41
6,700,236
7,800,588
8,900,992
9,1000,1517
10,1100,2228
11,1200,3098
12,1300,3961
13,1400,5017
14,1500,6320
15,1600,7644
16,1700,9154
17,1800,10951
18,1900,12322
19,2000,13917
20,2100,15686
21,2200,17726
22,2300,20039
23,2400,22953
24,2500,23649
25,2600,24521
26,2700,25327
27,2800,26157
28,2900,27222
29,3000,28497
30,3100,29690
31,3200,31036
32,3300,32513
33,3400,34071
34,3500,35787
35,3600,37884
36,3700,39514
37,3800,41396
38,3900,43588
39,4000,46017
40,4100,48313
41,4200,51303
42,4300,53535
43,4400,56106
44,4500,58760
45,4600,61756
46,4700,64907
47,4800,68338
48,4900,69196
49,5000,70159
50,5100,70866
51,5200,71687
52,5300,72944
53,5400,74521
54,5500,76093
55,5600,77919
56,5700,79916
57,5800,82073
58,5900,84320
59,6000,86714
60,6100,87956
61,6200,89471
62,6300,91320
63,6400,93622
64,6500,95905
65,6600,98764
66,6700,100626
67,6800,102756
68,6900,105316
69,7000,108295
70,7100,111156
71,7200,114522
72,7300,115260
73,7400,115964
74,7500,116468
75,7600,117176
76,7700,117948
77,7800,118886
78,7900,119540
79,8000,120523
80,8100,121835
81,8200,123385
82,8300,125281
83,8400,127412
84,8500,129293
85,8600,131587
86,8700,134192
87,8800,136967
88,8900,139575
89,9000,142633
90,9100,145122
91,9200,148046
92,9300,150903
93,9400,154238
94,9500,157886
95,9600,161999
96,9700,162644
97,9800,163436
98,9900,163943
99,10000,164508
100,10100,165297
101,10200,166539
102,10300,167845
103,10400,169316
104,10500,171061
105,10600,173348
106,10700,175926
107,10800,178633
108,10900,180879
109,11000,183585
110,11100,186799
111,11200,190261
112,11300,193521
113,11400,197353
114,11500,199936
115,11600,202531
116,11700,205259
117,11800,208469
118,11900,212005
119,12000,216125
120,12100,217233
121,12200,218246
122,12300,219035
123,12400,220067
124,12500,221273
125,12600,222601
126,12700,224136
127,12800,226039
128,12900,228103
129,13000,230363
130,13100,232991
131,13200,235834
132,13300,237753
133,13400,240188
134,13500,242857
135,13600,245796
136,13700,248664
137,13800,252254
138,13900,254893
139,14000,257978
140,14100,260545
141,14200,263459
142,14300,266807
143,14400,270579
144,14500,271321
145,14600,272264
146,14700,273071
147,14800,273913
148,14900,274916
149,15000,276453
150,15100,278160
151,15200,280145
152,15300,282180
153,15400,284516
154,15500,286962
155,15600,289651
156,15700,291436
157,15800,293578
158,15900,296305
159,16000,299325
160,16100,302069
161,16200,305376
162,16300,308073
163,16400,311288
164,16500,314641
165,16600,318423
166,16700,321926
167,16800,325843
168,16900,326661
169,17000,327611
170,17100,328221
171,17200,328936
172,17300,330227
173,17400,331877
174,17500,333570
175,17600,335781
176,17700,338248
177,17800,341001
178,17900,344034
179,18000,347325
180,18100,349926
181,18200,352974
182,18300,356398
183,18400,360274
184,18500,363868
185,18600,367964
186,18700,371223
187,18800,375057
188,18900,378779
189,19000,382974
190,19100,386708
191,19200,390772
192,19300,392032
193,19400,393560
194,19500,394629
195,19600,395904
196,19700,397390
197,19800,398993
198,19900,400505
199,20000,402318
200,20100,404222
201,20200,406373
202,20300,408705
203,20400,411135
204,20500,413009
205,20600,415399
206,20700,418081
207,20800,420818
208,20900,423346
209,21000,426259
210,21100,428556
211,21200,431393
212,21300,434369
213,21400,437865
214,21500,441238
215,21600,444804
216,21700,445366
217,21800,446219
218,21900,446817
219,22000,447525
220,22100,448320
221,22200,449384
222,22300,450412
223,22400,451912
224,22500,453595
225,22600,455612
226,22700,458090
227,22800,460998
228,22900,463853
229,23000,467143
230,23100,470772
231,23200,474875
232,23300,478811
233,23400,483397
234,23500,486873
235,23600,490744
236,23700,494501
237,23800,498578
238,23900,502410
239,24000,506549
240,24100,507714
241,24200,509071
242,24300,509791
243,24400,510651
244,24500,511880
245,24600,513608
246,24700,515393
247,24800,517411
248,24900,519688
249,25000,522424
250,25100,525414
251,25200,528550
252,25300,530567
253,25400,532966
254,25500,535906
255,25600,539142
256,25700,542273
257,25800,545957
258,25900,548487
259,26000,551265
260,26100,554036
261,26200,557182
262,26300,560305
263,26400,563935
264,26500,564498
265,26600,565291
266,26700,565983
267,26800,566865
268,26900,568202
269,27000,569759
270,27100,571804
271,27200,574126
272,27300,576845
273,27400,579903
274,27500,583227
275,27600,586733
276,27700,589383
277,27800,592467
278,27900,595973
279,28000,599652
280,28100,603228
281,28200,607240
282,28300,609718
283,28400,612242
284,28500,614777
285,28600,617657
286,28700,620707
287,28800,624356
288,28900,625247
289,29000,626214
290,29100,627077
291,29200,628117
292,29300,629103
293,29400,630409
294,29500,631715
295,29600,633297
296,29700,635100
297,29800,637011
298,29900,639059
299,30000,641257
300,30100,642845
301,30200,645014
302,30300,647707
303,30400,650732
304,30500,653890
305,30600,657350
306,30700,659725
307,30800,662492
308,30900,665406
309,31000,668728
310,31100,671791
311,31200,675160
312,31300,675699
313,31400,676395
314,31500,676809
315,31600,677331
316,31700,678211
317,31800,679307
318,31900,680395
319,32000,681714
320,32100,683251
321,32200,685039
322,32300,687019
323,32400,689024
324,32500,690844
325,32600,693227
326,32700,696005
327,32800,699259
328,32900,702636
329,33000,706448
330,33100,708694
331,33200,711088
332,33300,713494
333,33400,716181
334,33500,719010
335,33600,722485
336,33700,723286
337,33800,724306
338,33900,725224
339,34000,726368
340,34100,727711
341,34200,729406
342,34300,731023
343,34400,733185
344,34500,735761
345,34600,738629
346,34700,741534
347,34800,744611
348,34900,746909
349,35000,749515
350,35100,752753
351,35200,756484
352,35300,759912
353,35400,763953
354,35500,766973
355,35600,770147
356,35700,773311
357,35800,776790
358,35900,780289
359,36000,784193
360,36100,784960
361,36200,785947
362,36300,786653
363,36400,787465
364,36500,788531
365,36600,789834
366,36700,791105
367,36800,792610
368,36900,794411
369,37000,796502
370,37100,798927
371,37200,801725
372,37300,803689
373,37400,806012
374,37500,808611
375,37600,811519
376,37700,814419
377,37800,817633
378,37900,819810
379,38000,822497
380,38100,825051
381,38200,827809
382,38300,830561
383,38400,833740
384,38500,834678
385,38600,835767
386,38700,836576
387,38800,837554
388,38900,838750
389,39000,840386
390,39100,841992
391,39200,843700
392,39300,845847
393,39400,848121
394,39500,850614
395,39600,853156
396,39700,854868
397,39800,857232
398,39900,859920
399,40000,862902
