,step_history,waiting_history
0,100,3
1,200,8
2,300,10
3,400,14
4,500,91
5,600,221
6,700,444
7,800,817
8,900,1177
9,1000,1417
10,1100,1780
11,1200,2217
12,1300,2722
13,1400,3327
14,1500,3900
15,1600,4499
16,1700,5074
17,1800,5519
18,1900,5938
19,2000,6164
20,2100,6353
21,2200,6528
22,2300,6713
23,2400,7066
24,2500,7604
25,2600,8134
26,2700,8555
27,2800,8999
28,2900,9411
29,3000,10041
30,3100,10434
31,3200,10843
32,3300,11245
33,3400,11810
34,3500,12366
35,3600,12832
36,3700,13233
37,3800,13498
38,3900,13861
39,4000,14418
40,4100,14976
41,4200,15634
42,4300,16112
43,4400,16609
44,4500,16917
45,4600,17500
46,4700,18187
47,4800,18744
48,4900,19640
49,5000,20560
50,5100,21082
51,5200,21332
52,5300,21520
53,5400,21888
54,5500,22724
55,5600,23329
56,5700,23711
57,5800,24020
58,5900,24272
59,6000,24753
60,6100,25216
61,6200,25728
62,6300,26410
63,6400,26855
64,6500,27058
65,6600,27235
66,6700,27488
67,6800,28218
68,6900,29108
69,7000,29830
70,7100,30380
71,7200,31018
72,7300,31417
73,7400,31843
74,7500,32262
75,7600,32909
76,7700,33527
77,7800,33684
78,7900,33964
79,8000,34209
80,8100,34515
81,8200,35030
82,8300,35430
83,8400,36113
84,8500,36611
85,8600,36953
86,8700,37026
87,8800,37160
88,8900,37229
89,9000,37476
90,9100,37749
91,9200,37959
92,9300,38452
93,9400,39240
94,9500,40022
95,9600,40562
96,9700,41027
97,9800,41625
98,9900,42239
99,10000,42771
100,10100,43087
101,10200,43190
102,10300,43292
103,10400,43545
104,10500,43964
105,10600,44640
106,10700,45434
107,10800,46320
108,10900,46453
109,11000,46724
110,11100,47111
111,11200,47454
112,11300,48192
113,11400,48717
114,11500,49248
115,11600,49817
116,11700,50172
117,11800,50469
118,11900,50853
119,12000,51406
120,12100,52179
121,12200,52480
122,12300,52683
123,12400,53072
124,12500,53647
125,12600,54364
126,12700,55423
127,12800,56458
128,12900,57193
129,13000,57880
130,13100,58763
131,13200,59493
132,13300,60467
133,13400,61583
134,13500,62510
135,13600,63259
136,13700,64101
137,13800,64793
138,13900,65407
139,14000,66082
140,14100,66925
141,14200,68024
142,14300,69071
143,14400,70098
144,14500,70816
145,14600,71336
146,14700,71802
147,14800,72228
148,14900,72678
149,15000,73307
150,15100,74402
151,15200,75307
152,15300,76133
153,15400,76381
154,15500,76565
155,15600,76997
156,15700,77610
157,15800,78465
158,15900,79241
159,16000,80158
160,16100,81014
161,16200,81543
162,16300,82093
163,16400,82873
164,16500,83494
165,16600,84182
166,16700,84660
167,16800,85173
168,16900,85863
169,17000,86646
170,17100,87301
171,17200,88094
172,17300,88387
173,17400,88721
174,17500,89275
175,17600,90041
176,17700,90991
177,17800,91924
178,17900,93229
179,18000,94274
180,18100,95178
181,18200,96028
182,18300,96788
183,18400,97367
184,18500,97640
185,18600,98139
186,18700,98810
187,18800,99404
188,18900,100054
189,19000,100510
190,19100,100972
191,19200,101520
192,19300,101911
193,19400,102352
194,19500,102721
195,19600,103189
196,19700,103821
197,19800,104545
198,19900,105152
199,20000,105820
200,20100,106307
201,20200,106926
202,20300,107365
203,20400,107721
204,20500,108266
205,20600,109049
206,20700,109968
207,20800,110447
208,20900,110866
209,21000,111072
210,21100,111242
211,21200,111547
212,21300,111836
213,21400,112142
214,21500,112396
215,21600,112812
216,21700,113557
217,21800,114239
218,21900,114555
219,22000,114875
220,22100,115279
221,22200,115642
222,22300,116346
223,22400,116969
224,22500,117536
225,22600,118047
226,22700,118370
227,22800,118574
228,22900,118959
229,23000,119431
230,23100,120217
231,23200,120945
232,23300,121910
233,23400,122576
234,23500,123257
235,23600,123917
236,23700,124376
237,23800,124935
238,23900,125489
239,24000,126187
240,24100,127127
241,24200,127583
242,24300,128058
243,24400,128727
244,24500,129428
245,24600,129989
246,24700,130502
247,24800,130794
248,24900,131296
249,25000,131743
250,25100,132061
251,25200,132505
252,25300,133046
253,25400,133517
254,25500,133964
255,25600,134548
256,25700,135246
257,25800,135787
258,25900,136330
259,26000,137016
260,26100,137635
261,26200,138470
262,26300,139297
263,26400,139895
264,26500,140531
265,26600,140958
266,26700,141362
267,26800,142104
268,26900,142580
269,27000,143117
270,27100,143838
271,27200,144420
272,27300,145023
273,27400,145737
274,27500,146666
275,27600,147135
276,27700,147320
277,27800,147832
278,27900,148393
279,28000,148800
280,28100,149264
281,28200,149978
282,28300,150485
283,28400,150714
284,28500,150944
285,28600,151201
286,28700,151611
287,28800,152015
288,28900,152531
289,29000,153060
290,29100,153385
291,29200,153782
292,29300,154101
293,29400,154364
294,29500,154552
295,29600,155030
296,29700,155756
297,29800,156572
298,29900,157527
299,30000,158054
300,30100,158656
301,30200,159221
302,30300,159912
303,30400,160772
304,30500,161832
305,30600,162619
306,30700,163099
307,30800,163701
308,30900,163977
309,31000,164379
310,31100,164981
311,31200,165429
312,31300,165979
313,31400,166704
314,31500,167244
315,31600,168019
316,31700,168800
317,31800,169436
318,31900,170247
319,32000,170778
320,32100,171251
321,32200,171559
322,32300,171940
323,32400,172418
324,32500,173000
325,32600,173630
326,32700,174031
327,32800,174404
328,32900,174960
329,33000,175526
330,33100,176104
331,33200,176541
332,33300,176948
333,33400,177161
334,33500,177542
335,33600,178049
336,33700,178644
337,33800,179477
338,33900,180026
339,34000,180580
340,34100,181026
341,34200,181556
342,34300,182042
343,34400,182584
344,34500,183182
345,34600,183401
346,34700,183833
347,34800,184316
348,34900,184982
349,35000,185706
350,35100,186517
351,35200,187703
352,35300,188608
353,35400,189434
354,35500,189950
355,35600,190536
356,35700,191100
357,35800,191660
358,35900,192261
359,36000,192967
360,36100,193547
361,36200,193875
362,36300,194467
363,36400,194988
364,36500,195828
365,36600,196136
366,36700,196417
367,36800,196820
368,36900,197224
369,37000,197498
370,37100,197681
371,37200,198072
372,37300,198725
373,37400,199240
374,37500,199407
375,37600,199560
376,37700,199919
377,37800,200414
378,37900,201015
379,38000,201749
380,38100,202306
381,38200,202740
382,38300,203235
383,38400,203786
384,38500,204205
385,38600,204685
386,38700,205308
387,38800,205939
388,38900,206596
389,39000,207291
390,39100,207615
391,39200,207729
392,39300,208107
393,39400,208508
394,39500,208969
395,39600,209883
396,39700,210507
397,39800,210805
398,39900,211259
399,40000,211813
